GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	62920	793228	26	0.2483
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	805477	3274912	694	-0.2185
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	3280916	12832455	5755	-0.019
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	12850124	13118266	12	0.9326
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	13119897	13362275	7	-0.9586
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	13383455	16643683	2124	-0.0038
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	16643816	16643961	4	-1.2419
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	16679239	16721984	12	0.3102
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	16766762	16785682	11	-0.5879
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	16787932	16935752	58	0.5107
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	16949746	25256850	5241	-0.0087
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	25266637	25320253	23	0.853
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	25320455	30253880	2372	-0.0065
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	30254028	30264526	7	-1.0859
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	30265508	30744519	397	-0.0214
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	30744738	30778851	22	-0.5383
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	30789158	45908378	8378	-0.0079
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	45908452	45976726	39	0.3268
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	45976836	46661034	347	-0.0016
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	46661499	46668649	3	-1.8397
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	46670340	64697598	11947	-0.0003
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	64698026	64699197	3	-2.0601
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	64699272	72302815	5132	0.0077
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	72303233	72345465	46	-1.7121
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	72346221	104711636	20501	0.0079
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	104712299	104712351	2	-2.8416
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	104714678	109690352	3059	0.0044
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	109690415	109697556	12	-2.0196
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	109702376	151592170	8965	0.0104
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	151595483	151597765	3	-1.6543
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	151601842	152566917	568	-0.004
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	152567109	152613762	54	0.3168
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	152613802	152789532	175	-0.002
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	152789570	152795783	28	0.6712
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	152795805	248546369	65008	0.0029
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	248550567	248633821	34	-0.7297
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	1	248633912	248930189	142	0.0512
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	2	12784	34466002	24008	-0.0112
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	2	34474248	34511990	46	0.7574
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	2	34512096	50652887	11684	0.0098
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	2	50653841	51093226	305	0.1806
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	2	51093554	54330344	2345	-0.003
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	2	54330439	54340453	2	-2.5251
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	2	54342850	97359885	22454	0.0043
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	2	97524284	97545247	8	2.072
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	2	97545726	106258266	5546	0.0015
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	2	106263639	106270952	13	-0.6303
e2b5d8bb-aeb8-4688-8bac-ccc0cdf65e4d	2	106271414	108221308	1243	0.0226
