GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	62920	2184987	384	-0.0228
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	2185293	2794307	139	0.1445
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	2796762	16863509	8165	-0.0632
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	16864367	16898730	13	-0.8356
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	16898872	18466328	1186	-0.0645
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	18466892	18467026	2	-1.5951
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	18467142	21409834	1862	-0.0641
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	21410973	21411017	2	-1.711
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	21411032	25256800	2244	-0.0591
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	25256850	25320455	25	0.861
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	25336819	34626073	4952	-0.0611
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	34637053	34638890	20	-0.827
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	34648667	72284670	23740	-0.0623
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	72290430	72297687	9	-3.3984
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	72302735	72345465	48	0.8615
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	72346221	87075012	9533	-0.0618
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	87079555	110834946	14880	-0.1027
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	110834948	110840603	23	-0.8602
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	110840712	112147704	1085	-0.1143
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	112153343	112154576	21	0.7179
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	112154591	114170737	1215	-0.1121
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	114172962	115690597	1010	-0.0319
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	115693337	115742032	29	0.5288
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	115745955	117888772	1445	-0.108
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	117890316	118620297	410	0.0263
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	118620574	119192703	313	-0.0814
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	119195699	121593055	733	-0.1694
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	121593930	152583319	2447	-0.0384
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	152583408	152613762	28	-1.855
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	152613802	152778761	163	-0.0102
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	152782154	152806050	49	0.4224
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	152806082	171946149	13125	-0.0495
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	171947263	175923461	2487	0.0456
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	175923956	179501222	2347	-0.0749
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	179502615	181856402	1597	0.0287
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	181857793	182070512	139	-0.055
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	182074787	189679027	4996	0.0316
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	189679353	189679397	2	-2.0174
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	189682917	192649076	1939	0.0851
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	192649177	238097730	31055	0.1363
01fc2bf2-7103-4ff8-817d-8d16192c1e04	1	238098669	248930189	7582	0.0847
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	12784	14565932	11026	-0.1504
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	14566145	14566914	8	-1.3446
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	14569897	24516067	6961	-0.18
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	24516541	34466002	6055	-0.0004
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	34474248	34502800	44	0.771
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	34511446	35750907	872	-0.0106
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	35752724	35761650	4	-2.1566
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	35761842	52511902	12108	0.0079
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	52511964	52554274	41	0.744
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	52554359	88155547	22224	-0.0046
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	88157529	141099047	27930	0.044
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	141102080	146106875	3056	0.006
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	146106889	146109366	21	-1.7651
01fc2bf2-7103-4ff8-817d-8d16192c1e04	2	146120238	242147305	59000	0.0098
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	20930	6604856	5805	-0.121
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	6609441	6611645	23	-0.8379
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	6613391	37935926	21751	-0.1031
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	37940617	37945437	18	-0.7652
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	37945615	58721446	11962	-0.0981
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	58722654	58723678	2	-2.4567
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	58725966	60317689	1377	-0.1067
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	60317774	60864509	593	-0.2224
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	60864804	67054204	5067	-0.1046
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	67056207	67060266	3	-1.6454
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	67062248	67174593	67	-0.1093
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	67175209	75519398	5975	0.0559
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	75523398	75537654	6	-1.4873
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	75546030	89337811	7685	0.0501
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	89337896	89371323	56	-0.6185
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	89371338	93800634	383	0.0799
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	93801172	116629013	13439	-0.1027
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	116629841	117264794	542	-0.2321
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	117264974	141998008	15013	-0.1054
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	141998894	142036812	19	-0.6484
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	142037759	149245176	4489	-0.1102
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	149245189	149253293	27	-1.1606
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	149253404	162906109	8393	-0.1043
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	162908192	162908815	4	-1.726
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	162910826	169466337	3763	-0.1093
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	169466635	189642965	12885	0.2054
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	189645889	189653225	13	-0.5925
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	189654562	194913439	3664	0.2071
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	194913859	194921116	6	-0.8688
01fc2bf2-7103-4ff8-817d-8d16192c1e04	3	194921751	198169247	1528	0.2053
01fc2bf2-7103-4ff8-817d-8d16192c1e04	4	68929	178860	61	-0.1926
01fc2bf2-7103-4ff8-817d-8d16192c1e04	4	181757	10208766	5631	0.0045
01fc2bf2-7103-4ff8-817d-8d16192c1e04	4	10221792	10229874	28	2.2518
01fc2bf2-7103-4ff8-817d-8d16192c1e04	4	10232590	10389091	177	0.0191
01fc2bf2-7103-4ff8-817d-8d16192c1e04	4	10390730	10398532	14	-0.7443
