GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr1	13116	54847131	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr1	54848172	54859196	1	1	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr1	54860467	207305635	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr1	207306758	207323551	8	5	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr1	207325299	248945703	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr2	10587	86867396	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr2	86868467	87988216	4	3	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr2	87989404	242183243	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr3	18519	198181744	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr4	11961	49080718	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr4	49082354	49216098	4	3	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr4	49217487	144470872	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr4	144474222	144486570	1	1	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr4	144488234	190122722	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	11882	15335443	8	6	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	15336487	19245678	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	19246989	21823895	9	7	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	21824972	22318667	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	22319785	23213590	9	7	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	23214615	28936259	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	28937729	46035678	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	46036863	46392108	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	46393140	50924733	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	50925762	51621790	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	51623599	52669056	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	52670522	68563883	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	68565154	72211646	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	72213236	72232283	1	1	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	72236907	72919213	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	72920604	73704140	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	73705644	74612008	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	74615014	75123968	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	75125572	75190953	3	3	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	75192765	75250102	4	4	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	75251122	75766164	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	75767323	76033802	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	76035136	78833054	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	78834115	79574786	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	79576564	80900017	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	80901659	82289918	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	82290982	82520238	8	4	4
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	82521334	82672208	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	82673293	83201463	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	83202986	83299987	4	3	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	83302440	84497767	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	84501660	84693312	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	84694863	85171389	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	85172461	86128179	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	86130216	88934388	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	88935591	89044850	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	89046775	89702788	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	89704334	89797097	2	1	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	89798629	89900969	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	89902713	91416202	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	91417292	91585402	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	91587668	91626711	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	91628326	94778889	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	94782306	97979997	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	97981293	99165182	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	99167701	99358332	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	99359413	99495705	7	4	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	99498753	99629583	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	99631086	99902267	3	3	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	99903659	101291326	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	101292767	101570815	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	101572151	101602518	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	101604405	102050177	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	102051191	102215566	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	102217251	102759479	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	102760507	102774541	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	102775596	102858856	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	102860309	102892813	6	6	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	102895047	103222343	4	3	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	103223706	103238552	5	5	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	103239677	103403441	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	103405230	103504622	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	103505987	103660763	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	103662151	110247515	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	110249869	111108550	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	111110392	116998388	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	117001707	118000330	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	118001411	125856185	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	125857269	126516283	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	126519658	155182824	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	155184586	155939657	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	155940801	155988593	2	1	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	155990283	156007731	4	4	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	156009362	156274471	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	156276132	156297030	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	156298098	156301138	8	8	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	156302535	156573676	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr5	156575428	181363900	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr6	100116	67795565	8	4	4
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr6	67796608	68568778	4	3	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr6	68570114	113982647	2	1	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr6	113983703	170740469	4	3	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr7	20608	57787036	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr7	57788397	62954692	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr7	62955760	159334386	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	61774	7344878	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	7346760	7379405	3	3	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	7380533	7872179	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	7875160	8099307	3	3	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	8100421	8195588	5	5	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	8205691	8228516	0	0	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	8230708	12089822	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	12095189	12217874	5	4	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	12219350	12376754	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	12377811	12610431	3	2	1
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	12611600	13686997	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	13688000	14489476	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	14490654	14892214	10	8	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	14893281	15276808	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	15278106	18472797	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	18474018	18840521	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	18842149	19974287	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	19976060	20005362	3	3	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	20006362	20109052	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	20110118	20430931	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	20432286	20492188	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	20493213	20581454	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	20583014	20738135	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	20739446	21057805	9	7	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	21059958	23980502	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	23988456	25136788	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	25137838	34207317	2	2	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	34208672	35209601	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	35211664	42965365	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	42967151	43971216	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	43972484	49414653	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	49415942	50283049	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	50284079	68013840	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	68015357	68021291	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	68022413	68074762	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	68076080	69150558	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	69152271	69516403	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	69517522	69692837	4	2	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	69693940	76992708	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	76995907	76999912	4	4	0
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	77001701	77038737	7	4	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	77040150	78285885	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	78286904	81745458	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	81747361	85276262	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	85277310	86691199	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	86692433	87356942	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	87358076	110288543	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	110289728	115232054	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	115233394	119298868	6	3	3
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	119300665	125941498	5	3	2
2d6e8da1-ae06-469c-9c2b-9671e226351d	chr8	125944467	130648995	6	3	3
