GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	62920	266187	17	0.3052
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	462795	783283	7	-0.6018
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	787937	825988	11	-1.7772
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	826738	3137704	630	-0.071
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	3141806	46044681	24667	-0.2271
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	46046603	46048154	2	3.5588
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	46053881	68137749	14945	-0.2237
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	68137903	68849545	443	0.2113
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	68850544	69079017	111	-0.2685
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	69080996	69380911	159	0.1731
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	69381286	72297687	1764	-0.2397
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	72302735	72344159	44	0.3319
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	72345255	83375306	7098	-0.2394
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	83384675	83384707	2	2.5518
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	83387968	85072207	1198	-0.2321
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	85073444	85076937	8	-1.3617
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	85079997	103616762	11729	-0.2308
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	103620877	103717410	5	1.3639
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	103717617	105079911	699	-0.2164
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	105080318	105080931	2	1.6058
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	105084196	105476583	218	-0.2731
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	105476614	105479738	15	0.5823
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	105479753	109684695	2635	-0.2415
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	109684893	109707968	22	0.3688
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	109708520	112147704	1943	-0.2375
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	112153343	112154390	18	-0.7891
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	112154552	143709762	5249	-0.229
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	143709858	152582700	2362	0.2385
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	152583051	152614100	35	1.5653
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	152614118	152787202	168	0.192
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	152789447	152796224	37	0.8063
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	152801429	174828195	14820	0.1889
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	174828247	174832716	10	0.8661
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	174832734	187746723	8672	0.2046
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	187748429	187752238	2	-2.2046
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	187755479	196745743	5969	0.1977
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	196758720	196780731	29	-0.449
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	196788011	216288637	13171	0.1995
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	216293326	217523124	1030	0.3153
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	217525364	217536548	9	-0.4467
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	217537191	217537218	2	-2.7346
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	217546221	218027569	304	0.1647
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	218027683	219724599	1203	0.3452
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	219726454	248574146	19966	0.1924
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	248585893	248645563	33	-0.6853
68cff7e0-90d6-4918-9aab-90d8e5d0b686	1	248645808	248930189	140	0.2045
68cff7e0-90d6-4918-9aab-90d8e5d0b686	2	12784	4169966	2997	-0.0201
68cff7e0-90d6-4918-9aab-90d8e5d0b686	2	4170084	4175577	26	-0.565
68cff7e0-90d6-4918-9aab-90d8e5d0b686	2	4175922	7094041	2529	-0.0166
68cff7e0-90d6-4918-9aab-90d8e5d0b686	2	7094233	7094345	2	1.8666
68cff7e0-90d6-4918-9aab-90d8e5d0b686	2	7096019	7499242	370	0.007
68cff7e0-90d6-4918-9aab-90d8e5d0b686	2	7502934	7506841	2	2.6236
68cff7e0-90d6-4918-9aab-90d8e5d0b686	2	7506876	34439683	18165	0.0019
