GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	62920	1575421	210	0.0573
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	1696479	1741164	16	0.9837
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	1756148	2930411	345	0.1203
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	2934155	25209597	13432	0.0149
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	25219106	25256850	17	0.2515
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	25266637	25319167	20	-1.5313
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	25319693	105470754	49730	0.0165
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	105476583	105479753	17	-1.6415
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	105481433	112147704	4597	0.0113
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	112153343	112154768	25	0.756
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	112163334	152583051	7603	0.0259
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	152583230	152613762	31	-1.6033
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	152613802	152787202	171	0.0179
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	152789447	152796094	36	0.5404
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	152796224	179354603	17894	0.0228
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	179361393	179364180	4	-0.9929
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	179370071	195103787	10496	0.019
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	195111133	195120689	9	-0.648
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	195124863	196762480	1057	0.0217
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	196762956	196854483	61	0.3848
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	196854586	227587204	20672	0.0227
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	227589448	227597361	3	-1.6673
1bb43136-f69c-4e4c-95ee-77baeab8f813	1	227600119	248524514	14942	0.0227
