GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
776c7661-84db-4b5e-a1ad-206f1818f185	1	62920	1696979	212	0.2767
776c7661-84db-4b5e-a1ad-206f1818f185	1	1710664	1741164	14	1.0396
776c7661-84db-4b5e-a1ad-206f1818f185	1	1756148	3303537	514	0.3031
776c7661-84db-4b5e-a1ad-206f1818f185	1	3303596	3408473	67	0.5148
776c7661-84db-4b5e-a1ad-206f1818f185	1	3409529	3410232	3	-1.2268
776c7661-84db-4b5e-a1ad-206f1818f185	1	3410239	7492401	2843	0.477
776c7661-84db-4b5e-a1ad-206f1818f185	1	7492530	7511538	14	-0.0825
776c7661-84db-4b5e-a1ad-206f1818f185	1	7511749	10610834	1688	0.4454
776c7661-84db-4b5e-a1ad-206f1818f185	1	10611363	10619664	3	-1.3715
776c7661-84db-4b5e-a1ad-206f1818f185	1	10621749	21938800	6703	0.4644
776c7661-84db-4b5e-a1ad-206f1818f185	1	21939621	25256138	1942	0.2613
776c7661-84db-4b5e-a1ad-206f1818f185	1	25256188	25319693	25	-0.1602
776c7661-84db-4b5e-a1ad-206f1818f185	1	25320198	30983659	2930	0.2612
776c7661-84db-4b5e-a1ad-206f1818f185	1	30985081	30993685	10	1.0307
776c7661-84db-4b5e-a1ad-206f1818f185	1	30998356	31133723	55	0.2572
776c7661-84db-4b5e-a1ad-206f1818f185	1	31141173	31214812	31	0.6351
776c7661-84db-4b5e-a1ad-206f1818f185	1	31216669	31235412	19	1.0047
776c7661-84db-4b5e-a1ad-206f1818f185	1	31235631	31253128	12	0.6914
776c7661-84db-4b5e-a1ad-206f1818f185	1	31257239	31441117	100	0.3143
776c7661-84db-4b5e-a1ad-206f1818f185	1	31442682	31738462	160	0.8925
776c7661-84db-4b5e-a1ad-206f1818f185	1	31740537	56790877	14363	0.2669
776c7661-84db-4b5e-a1ad-206f1818f185	1	56792812	72303233	11041	0.2884
776c7661-84db-4b5e-a1ad-206f1818f185	1	72303253	72336821	30	0.6488
776c7661-84db-4b5e-a1ad-206f1818f185	1	72338895	79061957	4215	0.2933
776c7661-84db-4b5e-a1ad-206f1818f185	1	79070391	79748794	440	0.2507
776c7661-84db-4b5e-a1ad-206f1818f185	1	79752889	79920405	116	0.6141
776c7661-84db-4b5e-a1ad-206f1818f185	1	79924243	81102294	766	0.3412
776c7661-84db-4b5e-a1ad-206f1818f185	1	81102601	81363971	197	0.4883
776c7661-84db-4b5e-a1ad-206f1818f185	1	81365848	109679105	17870	0.2898
776c7661-84db-4b5e-a1ad-206f1818f185	1	109684695	109697556	15	-1.0808
776c7661-84db-4b5e-a1ad-206f1818f185	1	109702376	143547578	7144	0.2843
776c7661-84db-4b5e-a1ad-206f1818f185	1	143550417	152583051	2431	0.4603
776c7661-84db-4b5e-a1ad-206f1818f185	1	152583230	152613762	31	2.1309
776c7661-84db-4b5e-a1ad-206f1818f185	1	152613802	152614118	4	1.1863
776c7661-84db-4b5e-a1ad-206f1818f185	1	152618018	152787202	167	0.4118
776c7661-84db-4b5e-a1ad-206f1818f185	1	152789447	152796224	37	1.0636
776c7661-84db-4b5e-a1ad-206f1818f185	1	152801429	158896783	3614	0.4752
776c7661-84db-4b5e-a1ad-206f1818f185	1	158898711	158899969	2	2.0087
776c7661-84db-4b5e-a1ad-206f1818f185	1	158905028	169247699	7667	0.4749
776c7661-84db-4b5e-a1ad-206f1818f185	1	169264736	169269507	6	1.4683
776c7661-84db-4b5e-a1ad-206f1818f185	1	169272528	174827128	3518	0.4742
776c7661-84db-4b5e-a1ad-206f1818f185	1	174827267	174832716	18	-0.5538
776c7661-84db-4b5e-a1ad-206f1818f185	1	174832734	196769652	14649	0.4825
776c7661-84db-4b5e-a1ad-206f1818f185	1	196769851	196854706	58	0.8902
776c7661-84db-4b5e-a1ad-206f1818f185	1	196855470	199138574	1370	0.4869
776c7661-84db-4b5e-a1ad-206f1818f185	1	199142235	199143883	8	-0.3965
776c7661-84db-4b5e-a1ad-206f1818f185	1	199144712	209897717	7399	0.4774
776c7661-84db-4b5e-a1ad-206f1818f185	1	209908268	209908720	2	-1.5531
776c7661-84db-4b5e-a1ad-206f1818f185	1	209910639	243690894	23649	0.4813
776c7661-84db-4b5e-a1ad-206f1818f185	1	243697622	243697759	5	-0.5813
776c7661-84db-4b5e-a1ad-206f1818f185	1	243699806	248414390	3151	0.4886
776c7661-84db-4b5e-a1ad-206f1818f185	1	248415321	248473963	22	0.9402
776c7661-84db-4b5e-a1ad-206f1818f185	1	248475325	248525314	13	0.2567
776c7661-84db-4b5e-a1ad-206f1818f185	1	248546369	248668953	44	-0.0663
776c7661-84db-4b5e-a1ad-206f1818f185	1	248670664	248930189	133	0.4445
776c7661-84db-4b5e-a1ad-206f1818f185	2	12784	4359522	3183	-0.2659
776c7661-84db-4b5e-a1ad-206f1818f185	2	4361469	4361968	4	-2.898
776c7661-84db-4b5e-a1ad-206f1818f185	2	4362165	5901611	1244	-0.2526
776c7661-84db-4b5e-a1ad-206f1818f185	2	5901721	6439265	532	-0.1071
776c7661-84db-4b5e-a1ad-206f1818f185	2	6439966	12710994	4769	-0.2475
776c7661-84db-4b5e-a1ad-206f1818f185	2	12712007	16438682	2584	-0.114
776c7661-84db-4b5e-a1ad-206f1818f185	2	16439169	20578699	3146	-0.2614
776c7661-84db-4b5e-a1ad-206f1818f185	2	20579363	20579870	2	-2.2416
776c7661-84db-4b5e-a1ad-206f1818f185	2	20582165	23033564	1568	-0.2574
776c7661-84db-4b5e-a1ad-206f1818f185	2	23034398	23035740	3	-2.6461
776c7661-84db-4b5e-a1ad-206f1818f185	2	23038040	32833701	5670	-0.2605
776c7661-84db-4b5e-a1ad-206f1818f185	2	32834029	32834697	2	-2.9033
776c7661-84db-4b5e-a1ad-206f1818f185	2	32834735	34460213	1271	-0.2565
776c7661-84db-4b5e-a1ad-206f1818f185	2	34466002	34511990	47	-0.9164
776c7661-84db-4b5e-a1ad-206f1818f185	2	34512096	36181450	1216	-0.1879
776c7661-84db-4b5e-a1ad-206f1818f185	2	36189338	38284263	1694	-0.2806
776c7661-84db-4b5e-a1ad-206f1818f185	2	38284805	38727353	258	-0.1219
776c7661-84db-4b5e-a1ad-206f1818f185	2	38728724	38745139	8	0.7256
776c7661-84db-4b5e-a1ad-206f1818f185	2	38745684	39642497	500	-0.1161
776c7661-84db-4b5e-a1ad-206f1818f185	2	39647351	41837312	1834	-0.2153
