GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	62920	599171	20	0.3337
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	668210	12779433	6468	0.0044
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	12792599	12799143	4	-0.8645
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	12799250	12806954	8	-0.0746
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	12807204	12823233	12	-0.7478
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	12832455	109684893	59909	0.0034
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	109690352	109697556	13	-1.5586
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	109702376	112147704	1951	0.0167
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	112153343	112154591	22	-2.0767
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	112154619	143541857	5168	0.01
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	143545399	143657738	57	-0.7815
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	143662805	143927536	65	-0.4263
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	143927887	143942271	3	-1.1774
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	144432083	152583051	2311	0.0256
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	152583230	152614118	35	-1.9111
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	152618018	152789447	168	-0.0108
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	152789463	152796224	36	-1.5973
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	152801429	169269320	11280	0.0075
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	169269493	169272528	3	-1.4823
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	169273163	174827128	3515	0
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	174827267	174832702	17	-0.5335
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	174832716	196729184	14624	0.0049
8abe856a-ae0d-44f7-93b2-d09c3af41e9f	1	196735867	196940515	141	0.2086
