GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	62920	259926	16	0.769
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	266187	19353770	10416	0.0085
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	19353930	19354038	2	-2.5157
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	19354050	34626073	8501	0.0108
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	34637053	34648667	21	-0.6818
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	34649941	58257886	13985	0.0059
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	58257939	58267654	12	0.836
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	58276798	72297687	9692	0.0063
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	72302735	72345465	47	-1.9117
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	72346221	103616762	19950	0.0006
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	103620877	103697067	3	1.8549
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	103697364	105476583	919	0.0091
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	105476614	105481433	17	0.912
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	105481448	109690431	2623	0.0117
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	109690640	109697556	10	1.2984
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	109702376	110833598	832	-0.0016
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	110834746	110837143	19	0.5014
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	110837198	121347642	6170	0.0072
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	121386039	121426988	4	-1.2607
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	121430469	121705338	75	0.081
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	143459641	143734438	97	-0.6484
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	143748012	143751765	15	0.1361
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	143754062	143942271	16	-0.5823
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	144432083	152789463	2504	0.0232
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	152789479	152796224	35	0.5452
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	152801429	157508748	2483	0
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	157512664	157513157	2	-1.6433
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	157513483	169016577	8543	0.0055
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	169017063	169017973	5	-1.1693
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	169020148	169247699	188	-0.0463
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	169264736	169272528	6	-2.2287
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	169273163	174827267	3505	-0.0003
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	174827418	174832716	17	-1.0201
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	174832734	248436996	50148	0.0067
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	248437495	248473963	13	0.8632
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	248475325	248574146	17	-0.3081
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	248585893	248645808	34	-2.8717
54bcf7b3-1dcb-4902-b949-04d9671aa51a	1	248646068	248930189	139	0.0684
54bcf7b3-1dcb-4902-b949-04d9671aa51a	2	12784	4141108	2957	0.0117
54bcf7b3-1dcb-4902-b949-04d9671aa51a	2	4142069	4197344	75	0.3222
