GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
33043a79-9891-4dde-afd9-da954b409e83	1	62920	86341	11	0.7238
33043a79-9891-4dde-afd9-da954b409e83	1	98588	3274912	717	0.1067
33043a79-9891-4dde-afd9-da954b409e83	1	3280916	13110913	5799	0.0057
33043a79-9891-4dde-afd9-da954b409e83	1	13114062	13119897	3	-2.4606
33043a79-9891-4dde-afd9-da954b409e83	1	13270143	16719266	2158	0.004
33043a79-9891-4dde-afd9-da954b409e83	1	16721701	16788139	16	-0.8973
33043a79-9891-4dde-afd9-da954b409e83	1	16855942	16935737	55	-0.4
33043a79-9891-4dde-afd9-da954b409e83	1	16935752	25266637	5267	0.0055
33043a79-9891-4dde-afd9-da954b409e83	1	25269390	25419576	52	0.3126
33043a79-9891-4dde-afd9-da954b409e83	1	25423606	72284670	28706	0.0054
33043a79-9891-4dde-afd9-da954b409e83	1	72290430	72297687	9	-0.8499
33043a79-9891-4dde-afd9-da954b409e83	1	72302735	72305835	7	-0.1001
33043a79-9891-4dde-afd9-da954b409e83	1	72305851	72362629	55	0.3416
33043a79-9891-4dde-afd9-da954b409e83	1	72362638	81171201	5569	0.0018
33043a79-9891-4dde-afd9-da954b409e83	1	81173488	81174024	3	-1.2415
33043a79-9891-4dde-afd9-da954b409e83	1	81174735	105470132	15367	0.0018
33043a79-9891-4dde-afd9-da954b409e83	1	105470754	105481448	20	0.552
33043a79-9891-4dde-afd9-da954b409e83	1	105481468	108187137	1936	0.0042
33043a79-9891-4dde-afd9-da954b409e83	1	108191613	108192255	2	-4.2079
33043a79-9891-4dde-afd9-da954b409e83	1	108194874	109684893	695	0.0225
33043a79-9891-4dde-afd9-da954b409e83	1	109690352	109697556	13	1.3093
33043a79-9891-4dde-afd9-da954b409e83	1	109702376	112147626	1950	0.0101
33043a79-9891-4dde-afd9-da954b409e83	1	112147704	112154768	26	0.6035
33043a79-9891-4dde-afd9-da954b409e83	1	112163334	121580531	5154	-0.0004
33043a79-9891-4dde-afd9-da954b409e83	1	121581632	143748074	106	0.2147
33043a79-9891-4dde-afd9-da954b409e83	1	143748421	143927536	26	0.5137
33043a79-9891-4dde-afd9-da954b409e83	1	143927887	148334778	840	0.0407
33043a79-9891-4dde-afd9-da954b409e83	1	148335153	148335991	5	-0.8787
33043a79-9891-4dde-afd9-da954b409e83	1	148336809	150830551	509	0.014
33043a79-9891-4dde-afd9-da954b409e83	1	150836413	150836640	2	1.434
33043a79-9891-4dde-afd9-da954b409e83	1	150838529	152582700	962	0.0174
33043a79-9891-4dde-afd9-da954b409e83	1	152583051	152618018	37	0.254
33043a79-9891-4dde-afd9-da954b409e83	1	152618089	152784330	164	0.0319
33043a79-9891-4dde-afd9-da954b409e83	1	152785214	152795487	33	-0.365
33043a79-9891-4dde-afd9-da954b409e83	1	152795783	155691436	1562	0.0057
33043a79-9891-4dde-afd9-da954b409e83	1	155692180	155693566	2	-1.954
33043a79-9891-4dde-afd9-da954b409e83	1	155697170	158896783	2056	0.0012
33043a79-9891-4dde-afd9-da954b409e83	1	158898711	158899969	2	2.2122
33043a79-9891-4dde-afd9-da954b409e83	1	158905028	169247699	7670	-0.0022
33043a79-9891-4dde-afd9-da954b409e83	1	169264736	169272528	7	-2.603
33043a79-9891-4dde-afd9-da954b409e83	1	169273163	189679027	13442	0.0011
33043a79-9891-4dde-afd9-da954b409e83	1	189679353	189679397	2	-1.4068
33043a79-9891-4dde-afd9-da954b409e83	1	189682917	189805864	101	-0.044
33043a79-9891-4dde-afd9-da954b409e83	1	189805901	189807087	8	-1.0837
33043a79-9891-4dde-afd9-da954b409e83	1	189810880	192794818	1932	0.0084
33043a79-9891-4dde-afd9-da954b409e83	1	192794924	192795031	2	-1.6351
33043a79-9891-4dde-afd9-da954b409e83	1	192798787	193186662	296	-0.0037
33043a79-9891-4dde-afd9-da954b409e83	1	193187149	193187187	2	1.4463
33043a79-9891-4dde-afd9-da954b409e83	1	193187202	199138525	3832	0.0056
33043a79-9891-4dde-afd9-da954b409e83	1	199138574	199144712	10	-0.6253
33043a79-9891-4dde-afd9-da954b409e83	1	199145110	225477992	17988	0.0024
33043a79-9891-4dde-afd9-da954b409e83	1	225478047	225496309	30	0.3093
33043a79-9891-4dde-afd9-da954b409e83	1	225496430	238691981	9366	0.0019
33043a79-9891-4dde-afd9-da954b409e83	1	238692338	238692794	3	-1.1532
33043a79-9891-4dde-afd9-da954b409e83	1	238699149	248546369	6879	0.0088
33043a79-9891-4dde-afd9-da954b409e83	1	248550567	248633912	35	-0.5003
33043a79-9891-4dde-afd9-da954b409e83	1	248645563	248930189	141	0.0365
33043a79-9891-4dde-afd9-da954b409e83	2	12784	4158097	2987	0.0285
33043a79-9891-4dde-afd9-da954b409e83	2	4166274	4176429	42	-0.5797
33043a79-9891-4dde-afd9-da954b409e83	2	4182472	4866110	578	0.0223
33043a79-9891-4dde-afd9-da954b409e83	2	4866333	4866521	5	-1.1713
33043a79-9891-4dde-afd9-da954b409e83	2	4867469	5595907	575	0.0061
33043a79-9891-4dde-afd9-da954b409e83	2	5596189	5597685	6	-0.9267
33043a79-9891-4dde-afd9-da954b409e83	2	5598196	7089698	1350	-0.0121
33043a79-9891-4dde-afd9-da954b409e83	2	7093393	7096019	11	-0.5552
33043a79-9891-4dde-afd9-da954b409e83	2	7096047	34427804	18528	0.0019
33043a79-9891-4dde-afd9-da954b409e83	2	34434869	34511990	57	0.4863
33043a79-9891-4dde-afd9-da954b409e83	2	34512096	52527743	13015	0.0055
33043a79-9891-4dde-afd9-da954b409e83	2	52531615	52554404	33	0.6714
33043a79-9891-4dde-afd9-da954b409e83	2	52560811	55681804	2328	0.0002
33043a79-9891-4dde-afd9-da954b409e83	2	55687655	55711444	12	1.1357
33043a79-9891-4dde-afd9-da954b409e83	2	55711612	89956227	20447	0.0006
33043a79-9891-4dde-afd9-da954b409e83	2	89960252	90186197	84	-0.6918
33043a79-9891-4dde-afd9-da954b409e83	2	90186212	90228220	35	-1.073
33043a79-9891-4dde-afd9-da954b409e83	2	90228237	97359885	948	0.0152
33043a79-9891-4dde-afd9-da954b409e83	2	97524284	97563117	17	0.5733
33043a79-9891-4dde-afd9-da954b409e83	2	97570839	106265177	5562	0.0041
33043a79-9891-4dde-afd9-da954b409e83	2	106266773	106268901	8	-2.1066
33043a79-9891-4dde-afd9-da954b409e83	2	106270799	129787992	14134	0.0064
33043a79-9891-4dde-afd9-da954b409e83	2	129791702	129801673	10	-0.6821
33043a79-9891-4dde-afd9-da954b409e83	2	129802474	130036283	140	0.0061
33043a79-9891-4dde-afd9-da954b409e83	2	130036310	130117303	14	0.498
33043a79-9891-4dde-afd9-da954b409e83	2	130136424	146104517	9528	0.0093
33043a79-9891-4dde-afd9-da954b409e83	2	146106836	146109366	24	0.9456
33043a79-9891-4dde-afd9-da954b409e83	2	146120238	179196928	20276	0.0057
33043a79-9891-4dde-afd9-da954b409e83	2	179202465	179211936	2	-1.3314
33043a79-9891-4dde-afd9-da954b409e83	2	179214417	183220725	2568	0.0097
33043a79-9891-4dde-afd9-da954b409e83	2	183221060	183224996	9	-0.9608
33043a79-9891-4dde-afd9-da954b409e83	2	183229270	184379336	778	0.0123
33043a79-9891-4dde-afd9-da954b409e83	2	184392326	184400102	15	-0.6155
33043a79-9891-4dde-afd9-da954b409e83	2	184400238	242147305	35428	0.0035
33043a79-9891-4dde-afd9-da954b409e83	3	20930	5383300	4729	0.0103
33043a79-9891-4dde-afd9-da954b409e83	3	5386304	5419128	31	-1.1152
33043a79-9891-4dde-afd9-da954b409e83	3	5419321	30951310	18401	0.005
33043a79-9891-4dde-afd9-da954b409e83	3	30954097	30957257	6	-0.7819
33043a79-9891-4dde-afd9-da954b409e83	3	30962871	60845988	18433	0.0043
33043a79-9891-4dde-afd9-da954b409e83	3	60849728	60858067	11	-1.0531
33043a79-9891-4dde-afd9-da954b409e83	3	60858901	68682877	6190	-0.0006
33043a79-9891-4dde-afd9-da954b409e83	3	68697013	68698262	15	0.7408
33043a79-9891-4dde-afd9-da954b409e83	3	68699607	75415854	4890	-0.0036
33043a79-9891-4dde-afd9-da954b409e83	3	75415951	75713194	77	0.1991
33043a79-9891-4dde-afd9-da954b409e83	3	75715277	82815398	4070	0.0029
33043a79-9891-4dde-afd9-da954b409e83	3	82823628	82823892	6	-1.5834
33043a79-9891-4dde-afd9-da954b409e83	3	82831894	152629338	39762	0.0019
33043a79-9891-4dde-afd9-da954b409e83	3	152629405	152638413	43	-0.6473
33043a79-9891-4dde-afd9-da954b409e83	3	152638694	162794869	6119	0.0063
33043a79-9891-4dde-afd9-da954b409e83	3	162794951	162813082	14	-0.4235
33043a79-9891-4dde-afd9-da954b409e83	3	162815162	162834293	12	-1.2372
33043a79-9891-4dde-afd9-da954b409e83	3	162845543	162908815	45	-0.3148
33043a79-9891-4dde-afd9-da954b409e83	3	162910826	173522845	6360	0.0069
33043a79-9891-4dde-afd9-da954b409e83	3	173529689	173571890	23	0.5279
33043a79-9891-4dde-afd9-da954b409e83	3	173582403	181994386	5259	0.0033
33043a79-9891-4dde-afd9-da954b409e83	3	181997761	182004086	8	-1.0207
33043a79-9891-4dde-afd9-da954b409e83	3	182007858	189642489	5021	0.0116
33043a79-9891-4dde-afd9-da954b409e83	3	189642965	189653225	14	-0.6925
33043a79-9891-4dde-afd9-da954b409e83	3	189654562	193160256	2491	0.0077
33043a79-9891-4dde-afd9-da954b409e83	3	193160406	193168646	18	-1.134
33043a79-9891-4dde-afd9-da954b409e83	3	193168669	198169247	2693	0.026
33043a79-9891-4dde-afd9-da954b409e83	4	68929	3462155	1393	0.027
33043a79-9891-4dde-afd9-da954b409e83	4	3467716	3471875	9	0.8241
33043a79-9891-4dde-afd9-da954b409e83	4	3471912	10221792	4306	0.0056
33043a79-9891-4dde-afd9-da954b409e83	4	10222004	10232590	28	-1.4947
33043a79-9891-4dde-afd9-da954b409e83	4	10232642	34777432	16985	0.002
33043a79-9891-4dde-afd9-da954b409e83	4	34784878	34817589	35	-0.4281
33043a79-9891-4dde-afd9-da954b409e83	4	34819718	54353318	10601	0.0003
33043a79-9891-4dde-afd9-da954b409e83	4	54353363	54355243	9	-0.7878
33043a79-9891-4dde-afd9-da954b409e83	4	54355634	54502535	119	0.0043
33043a79-9891-4dde-afd9-da954b409e83	4	54502615	54502617	2	-1.2295
33043a79-9891-4dde-afd9-da954b409e83	4	54502821	62804351	5274	0.0039
33043a79-9891-4dde-afd9-da954b409e83	4	62804836	62805944	6	0.7454
33043a79-9891-4dde-afd9-da954b409e83	4	62813912	63828222	556	0.0106
33043a79-9891-4dde-afd9-da954b409e83	4	63831751	63840033	20	0.4738
33043a79-9891-4dde-afd9-da954b409e83	4	63841863	63842099	4	1.4133
33043a79-9891-4dde-afd9-da954b409e83	4	63842411	63852325	7	0.5734
33043a79-9891-4dde-afd9-da954b409e83	4	63856498	68354665	2848	0.0082
33043a79-9891-4dde-afd9-da954b409e83	4	68361130	68623617	90	0.5156
33043a79-9891-4dde-afd9-da954b409e83	4	68639397	69257792	314	0.0274
33043a79-9891-4dde-afd9-da954b409e83	4	69261926	69370433	57	-0.5217
33043a79-9891-4dde-afd9-da954b409e83	4	69374263	121360818	31694	0.0044
33043a79-9891-4dde-afd9-da954b409e83	4	121361313	121363980	28	-0.7738
33043a79-9891-4dde-afd9-da954b409e83	4	121369976	171448195	30292	0.0054
33043a79-9891-4dde-afd9-da954b409e83	4	171453733	171456625	12	0.989
33043a79-9891-4dde-afd9-da954b409e83	4	171459220	171467577	9	-0.5925
33043a79-9891-4dde-afd9-da954b409e83	4	171467670	171828831	217	-0.0026
33043a79-9891-4dde-afd9-da954b409e83	4	171829823	171831109	3	-1.0639
33043a79-9891-4dde-afd9-da954b409e83	4	171831145	172501371	411	0.0292
33043a79-9891-4dde-afd9-da954b409e83	4	172503796	172507492	7	1.9935
33043a79-9891-4dde-afd9-da954b409e83	4	172519981	188300104	10702	0.0118
33043a79-9891-4dde-afd9-da954b409e83	4	188300206	188300270	3	-1.2831
33043a79-9891-4dde-afd9-da954b409e83	4	188300285	190106768	1142	0.0583
33043a79-9891-4dde-afd9-da954b409e83	5	15532	731654	319	0.1257
33043a79-9891-4dde-afd9-da954b409e83	5	731776	833513	34	0.6443
33043a79-9891-4dde-afd9-da954b409e83	5	852451	21376735	15321	0.0077
33043a79-9891-4dde-afd9-da954b409e83	5	21377730	21377744	2	1.743
33043a79-9891-4dde-afd9-da954b409e83	5	21385957	21449110	43	0.0024
33043a79-9891-4dde-afd9-da954b409e83	5	21449167	21468257	9	0.8092
33043a79-9891-4dde-afd9-da954b409e83	5	21516085	34599942	8122	0.0044
33043a79-9891-4dde-afd9-da954b409e83	5	34599967	34599977	2	-1.7322
33043a79-9891-4dde-afd9-da954b409e83	5	34600158	45796415	6718	0.0038
33043a79-9891-4dde-afd9-da954b409e83	5	45800286	50290047	176	0.1368
33043a79-9891-4dde-afd9-da954b409e83	5	50290669	55074174	3072	0.0013
33043a79-9891-4dde-afd9-da954b409e83	5	55074403	55075148	3	-0.9612
33043a79-9891-4dde-afd9-da954b409e83	5	55082584	58030453	1947	-0.0081
33043a79-9891-4dde-afd9-da954b409e83	5	58033288	58037706	29	-0.3779
33043a79-9891-4dde-afd9-da954b409e83	5	58042530	150822643	56650	0.0002
33043a79-9891-4dde-afd9-da954b409e83	5	150825938	150839042	8	-0.7857
33043a79-9891-4dde-afd9-da954b409e83	5	150843825	180947523	20258	0.004
33043a79-9891-4dde-afd9-da954b409e83	5	180951710	180991103	19	0.7201
33043a79-9891-4dde-afd9-da954b409e83	5	181006225	181363319	170	0.0394
33043a79-9891-4dde-afd9-da954b409e83	6	149661	253861	99	0.0585
33043a79-9891-4dde-afd9-da954b409e83	6	254267	303017	27	0.3879
33043a79-9891-4dde-afd9-da954b409e83	6	303121	29875657	21544	0.0076
33043a79-9891-4dde-afd9-da954b409e83	6	29876257	29882419	8	-1.3006
33043a79-9891-4dde-afd9-da954b409e83	6	29882497	31313046	663	0.0106
33043a79-9891-4dde-afd9-da954b409e83	6	31318499	31319445	5	1.0453
33043a79-9891-4dde-afd9-da954b409e83	6	31319724	32463515	503	0.0436
33043a79-9891-4dde-afd9-da954b409e83	6	32463775	32541506	21	1.5158
33043a79-9891-4dde-afd9-da954b409e83	6	32541699	32658841	45	0.4411
33043a79-9891-4dde-afd9-da954b409e83	6	32682835	32722250	44	0.0959
