GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	62920	259407	14	-0.6549
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	259422	3195853	673	0.1664
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	3196415	15163186	7228	0.0013
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	15163303	15163366	2	1.7838
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	15163435	17266821	1078	0.0291
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	17266911	17293514	23	0.5888
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	17296159	22082867	3134	0.0011
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	22085630	22088917	4	-1.1298
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	22089187	25256352	1862	0.0071
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	25256800	25320198	24	0.8617
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	25320253	59993588	20267	0.0043
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	59994583	59994604	2	-3.2585
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	59994771	70531759	7366	0.0061
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	70532128	70532262	2	-1.458
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	70533103	72303233	1104	-0.0012
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	72303253	72345465	45	-1.698
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	72346221	108013376	22766	0.0001
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	108014481	108015083	2	-1.702
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	108016412	109684893	845	0.0169
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	109690352	109702376	14	0.8954
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	109703504	152599461	9597	0.0141
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	152599705	152614064	18	0.6237
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	152614100	152787202	169	-0.0076
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	152789447	152796224	37	-1.906
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	152801429	196745743	29478	0.003
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	196758720	196854187	63	-0.4048
ab8a5e79-daf0-49f8-a89d-2581e9ddddca	1	196854483	242880979	32023	0.0035
