GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	62920	48092857	26584	0.0056
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	48096394	48116168	18	-1.0127
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	48123876	72303233	16164	0.005
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	72303253	72345465	45	-1.1676
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	72346221	111769532	25167	0.0013
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	111769589	111769929	3	1.1997
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	111770456	112147704	363	0.0224
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	112153343	112163334	26	0.4384
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	112163438	143734438	5257	0.0071
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	143748012	143754077	17	0.6213
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	143754192	187746723	26035	0.002
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	187748429	187752238	2	-2.2549
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	187755479	188615142	568	-0.0021
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	188617958	188618710	2	-1.4886
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	188619475	193186662	2994	-0.0034
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	193187149	193187218	4	1.1199
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	193190593	194479104	938	-0.0063
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	194482281	194485888	2	-2.1071
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	194487886	196772186	1465	0.0029
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	196772237	196780691	12	-0.6381
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	196780705	209897717	8811	0.0054
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	209908268	209910639	3	1.4294
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	209913207	217536548	5374	-0.0025
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	217537191	217537218	2	-2.2606
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	217546221	222801584	3530	0.0044
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	222802841	222816946	11	-0.8653
4781fd42-b9f6-4f34-969d-8b12ea51a675	1	222817311	248930189	18092	0.0004
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	12784	33537896	23339	0.0093
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	33540701	33543045	2	-2.0211
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	33545200	34295406	636	0.0221
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	34298911	34300513	2	-1.5251
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	34300900	34427804	84	0.021
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	34434869	34512096	58	0.5161
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	34512489	41011095	4796	0.0066
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	41011303	41016287	20	-0.5167
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	41018409	52527330	8173	0.0052
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	52527342	52554157	31	-0.8067
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	52554188	78473831	16752	0.011
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	78474950	78494776	14	-0.9045
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	78498405	86710564	5133	-0.0014
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	86725947	86726731	2	-2.0176
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	86743283	89897956	856	0.0229
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	89920951	89960252	6	0.9585
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	89963133	97359885	1066	0.0185
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	97524284	97545726	9	-1.0642
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	97550415	128880504	18954	0.0036
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	128880904	128882741	15	-0.7175
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	128882755	212504894	50570	0.0055
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	212505638	212505978	2	-2.5758
4781fd42-b9f6-4f34-969d-8b12ea51a675	2	212508264	242147305	18883	0.005
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	20930	6275672	5549	-0.0136
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	6277576	6293785	19	0.5559
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	6296749	6604856	242	-0.0148
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	6609441	6611427	19	-0.8336
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	6611461	12656338	4682	-0.0012
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	12656361	12660057	13	0.4992
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	12660082	19958303	4508	-0.0032
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	19961680	19961736	2	-1.5576
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	19964543	68697013	32714	-0.0015
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	68697108	68698262	14	-0.8827
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	68699607	75372019	4867	0.0038
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	75377956	75571744	72	-0.843
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	75589590	99218940	10948	0.0024
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	99225614	99226455	14	-1.5236
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	99226551	99230212	13	-3.167
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	99230225	99230464	9	-1.2086
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	99230470	193160113	58193	-0.0012
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	193160173	193165114	19	2.0871
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	193168646	195685341	1489	0.0037
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	195691392	195752877	42	-0.5846
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	195754940	197613975	919	0.0073
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	197621717	197671345	3	-1.4689
4781fd42-b9f6-4f34-969d-8b12ea51a675	3	197676287	198169247	240	0.0017
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	68929	5308576	2524	-0.0089
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	5308694	5319207	6	-1.0627
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	5321568	34777432	20166	-0.0011
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	34784878	34822561	37	0.6845
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	34823103	62804351	15983	0.0016
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	62804836	62805944	6	-0.8847
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	62813912	63828222	556	-0.0028
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	63831751	63840033	19	-0.7574
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	63841863	63842540	8	-2.6076
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	63850713	68506285	2867	0.001
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	68509223	68663241	70	0.6364
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	68671434	137017547	40778	-0.0011
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	137017561	137017653	2	1.977
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	137017888	154881396	10911	0.0024
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	154881853	154881926	3	-2.7413
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	154882047	171448195	10588	-0.0013
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	171453733	171456625	12	1.431
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	171459220	172066777	396	-0.0219
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	172067997	172074828	13	0.6738
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	172075742	187049935	10150	-0.0058
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	187050156	187051053	2	-2.0252
4781fd42-b9f6-4f34-969d-8b12ea51a675	4	187056923	190106768	1907	-0.0166
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	15532	10768657	8711	-0.0038
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	10768823	10804271	36	-0.2954
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	10804287	17601444	4617	0.0004
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	17601619	17625524	10	-0.8982
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	17629411	21449167	2321	0.0006
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	21451091	21452387	6	0.9035
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	21454830	27524345	3525	0.001
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	27525283	27525913	10	-0.7889
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	27527372	56957199	15782	-0.0016
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	56958658	56958900	2	-1.7785
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	56959644	104171056	27306	-0.0012
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	104174079	104198425	22	-0.8948
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	104199787	104515520	202	0.0295
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	104524672	104524903	4	2.3077
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	104525348	150822643	29762	-0.0008
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	150825938	150839042	8	-0.933
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	150843825	152134458	959	0.0045
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	152134475	152137227	12	-0.6401
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	152138502	156049910	2666	-0.0063
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	156049988	156055719	12	-0.7131
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	156068240	177771448	14799	0.0019
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	177800550	177805604	3	2.5672
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	177827964	180947523	1796	0.004
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	180951710	180991103	19	-1.8688
4781fd42-b9f6-4f34-969d-8b12ea51a675	5	181006225	181363319	170	0.0112
4781fd42-b9f6-4f34-969d-8b12ea51a675	6	149661	254283	101	-0.0338
4781fd42-b9f6-4f34-969d-8b12ea51a675	6	257353	279695	13	-0.8857
4781fd42-b9f6-4f34-969d-8b12ea51a675	6	280399	378703	84	-0.3325
4781fd42-b9f6-4f34-969d-8b12ea51a675	6	379015	6025978	4645	-0.0061
4781fd42-b9f6-4f34-969d-8b12ea51a675	6	6033698	6034203	3	-1.3681
4781fd42-b9f6-4f34-969d-8b12ea51a675	6	6036812	29882603	16804	-0.0013
4781fd42-b9f6-4f34-969d-8b12ea51a675	6	29903859	29940692	17	-0.6022
4781fd42-b9f6-4f34-969d-8b12ea51a675	6	29946443	54066269	14905	-0.0025
