GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
76f0c814-a9b3-495e-8d77-616021d9b643	1	62920	17266911	8994	-0.0069
76f0c814-a9b3-495e-8d77-616021d9b643	1	17268401	17293514	22	0.6195
76f0c814-a9b3-495e-8d77-616021d9b643	1	17296159	21825701	2997	-0.0007
76f0c814-a9b3-495e-8d77-616021d9b643	1	21833618	21833764	2	-1.3518
76f0c814-a9b3-495e-8d77-616021d9b643	1	21837671	25256850	2008	-0.0105
76f0c814-a9b3-495e-8d77-616021d9b643	1	25266637	25320198	22	0.5904
76f0c814-a9b3-495e-8d77-616021d9b643	1	25320253	49448451	13371	-0.0006
76f0c814-a9b3-495e-8d77-616021d9b643	1	49449260	49532191	28	-0.9757
76f0c814-a9b3-495e-8d77-616021d9b643	1	49533594	54624527	2614	-0.003
76f0c814-a9b3-495e-8d77-616021d9b643	1	54627618	54628716	2	-2.9586
76f0c814-a9b3-495e-8d77-616021d9b643	1	54630777	72284670	12719	-0.0007
76f0c814-a9b3-495e-8d77-616021d9b643	1	72290430	72297687	9	-1.1038
76f0c814-a9b3-495e-8d77-616021d9b643	1	72302735	75585159	1979	-0.0058
76f0c814-a9b3-495e-8d77-616021d9b643	1	75589078	75589169	2	-2.4821
76f0c814-a9b3-495e-8d77-616021d9b643	1	75593824	105476583	19018	-0.0005
76f0c814-a9b3-495e-8d77-616021d9b643	1	105476614	105481433	17	-0.4378
76f0c814-a9b3-495e-8d77-616021d9b643	1	105481448	109684893	2634	-0.0117
76f0c814-a9b3-495e-8d77-616021d9b643	1	109690352	109697556	13	-0.7374
76f0c814-a9b3-495e-8d77-616021d9b643	1	109702376	110834746	837	-0.0062
76f0c814-a9b3-495e-8d77-616021d9b643	1	110834943	110845604	38	-0.7464
76f0c814-a9b3-495e-8d77-616021d9b643	1	110849445	112147704	1076	0.0003
76f0c814-a9b3-495e-8d77-616021d9b643	1	112153343	112154619	23	0.3727
76f0c814-a9b3-495e-8d77-616021d9b643	1	112154754	152583051	7606	0.0065
76f0c814-a9b3-495e-8d77-616021d9b643	1	152583230	152614100	34	-1.9088
76f0c814-a9b3-495e-8d77-616021d9b643	1	152614118	152789781	174	0.0095
76f0c814-a9b3-495e-8d77-616021d9b643	1	152789809	152801429	32	0.3474
76f0c814-a9b3-495e-8d77-616021d9b643	1	152804279	196745743	29470	-0.0029
76f0c814-a9b3-495e-8d77-616021d9b643	1	196758720	196846661	61	-1.5973
76f0c814-a9b3-495e-8d77-616021d9b643	1	196847600	222193326	17402	-0.0016
76f0c814-a9b3-495e-8d77-616021d9b643	1	222201492	222203662	2	-2.7991
76f0c814-a9b3-495e-8d77-616021d9b643	1	222208792	248574146	18248	-0.0029
76f0c814-a9b3-495e-8d77-616021d9b643	1	248585893	248668953	40	-0.5974
76f0c814-a9b3-495e-8d77-616021d9b643	1	248670664	248930189	133	-0.0005
76f0c814-a9b3-495e-8d77-616021d9b643	2	12784	34466002	24094	-0.0023
76f0c814-a9b3-495e-8d77-616021d9b643	2	34474248	34512096	47	0.4537
76f0c814-a9b3-495e-8d77-616021d9b643	2	34512489	35750907	870	-0.0046
76f0c814-a9b3-495e-8d77-616021d9b643	2	35752724	35762850	6	-1.7201
76f0c814-a9b3-495e-8d77-616021d9b643	2	35762881	52527330	12133	-0.0007
76f0c814-a9b3-495e-8d77-616021d9b643	2	52527342	52527743	6	-1.5477
76f0c814-a9b3-495e-8d77-616021d9b643	2	52531615	52591526	59	-0.2672
76f0c814-a9b3-495e-8d77-616021d9b643	2	52591665	89897956	22758	0.003
76f0c814-a9b3-495e-8d77-616021d9b643	2	89920951	89960252	6	0.9666
76f0c814-a9b3-495e-8d77-616021d9b643	2	89963133	97534580	1069	0.0266
76f0c814-a9b3-495e-8d77-616021d9b643	2	97535071	97545247	5	1.1915
76f0c814-a9b3-495e-8d77-616021d9b643	2	97545726	113604438	9367	0.0011
76f0c814-a9b3-495e-8d77-616021d9b643	2	113604837	113623244	3	1.1289
76f0c814-a9b3-495e-8d77-616021d9b643	2	113625975	125684646	7662	-0.0018
76f0c814-a9b3-495e-8d77-616021d9b643	2	125694074	125694336	2	1.629
76f0c814-a9b3-495e-8d77-616021d9b643	2	125694355	146106875	12374	0.0029
76f0c814-a9b3-495e-8d77-616021d9b643	2	146106889	146109366	21	0.8264
