GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	62920	3043846	634	-0.1262
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	3043940	15828471	7664	-0.2218
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	15828515	15844541	7	0.3262
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	15850269	16721984	331	-0.1653
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	16766762	16863509	15	0.3523
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	16864367	16956580	58	-0.6559
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	16958425	22175223	3417	-0.2165
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	22177283	22177779	2	-2.0697
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	22180930	25256800	1803	-0.2113
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	25256850	25320455	25	-1.9499
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	25336819	54585140	15899	-0.2066
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	54588923	72302815	12695	-0.1395
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	72303233	72345465	46	1.1478
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	72346221	90090349	11542	-0.129
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	90090592	90093659	3	-1.7075
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	90094125	98273767	5061	-0.1494
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	98278314	108967060	6584	-0.114
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	108968731	109684893	319	-0.1732
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	109690352	109707614	18	0.6161
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	109707950	110827750	821	-0.1385
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	110827773	110852244	55	0.1017
65e93af7-f914-4fe6-bc55-1bd5fcfb5eb1	1	110852488	112135938	1053	-0.1691
