GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	62920	259422	15	-0.9105
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	259926	2065483	333	0.1222
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	2066166	2097298	8	-0.815
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	2101817	3309193	396	0.1388
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	3309376	72303233	42034	0.0174
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	72303253	72345465	45	-1.4506
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	72346221	109690352	23605	0.0159
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	109690415	109702376	13	-1.138
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	109703504	111750410	1578	0.035
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	111750508	111755048	2	-1.7795
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	111755205	112153686	375	0.0435
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	112153851	112163583	31	0.6074
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	112163591	147595529	5871	0.0206
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	147598749	147598816	2	1.9328
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	147605490	152787202	1920	0.0279
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	152789447	152796224	37	0.8661
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	152801429	155210675	1343	0.0316
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	155219369	155231273	11	1.3084
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	155241876	196737547	28109	0.0147
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	196737736	196873141	89	-0.564
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	196874041	222193326	17381	0.0167
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	222201492	222203662	2	-4.9024
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	222208792	228826680	3814	0.0314
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	228832437	228858641	21	0.5943
e054ff47-a72c-48fa-b509-6140c7d7fb57	1	228860875	248550567	14397	0.0181
