GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6ecf5085-d31a-469c-ac24-19a423a5262e	1	62920	16679281	8667	-0.1985
6ecf5085-d31a-469c-ac24-19a423a5262e	1	16679483	16935752	79	-0.6821
6ecf5085-d31a-469c-ac24-19a423a5262e	1	16949746	59290269	25075	-0.1972
6ecf5085-d31a-469c-ac24-19a423a5262e	1	59290420	108187137	31830	-0.1689
6ecf5085-d31a-469c-ac24-19a423a5262e	1	108191613	108194874	3	-3.5283
6ecf5085-d31a-469c-ac24-19a423a5262e	1	108196482	110834746	1544	-0.1937
6ecf5085-d31a-469c-ac24-19a423a5262e	1	110834943	110845604	38	-1.2938
6ecf5085-d31a-469c-ac24-19a423a5262e	1	110849445	112154591	1095	-0.2004
6ecf5085-d31a-469c-ac24-19a423a5262e	1	112154619	112154754	2	1.8884
6ecf5085-d31a-469c-ac24-19a423a5262e	1	112154768	121601998	5150	-0.1786
6ecf5085-d31a-469c-ac24-19a423a5262e	1	121705338	143927536	126	1.0323
6ecf5085-d31a-469c-ac24-19a423a5262e	1	143927887	144432313	5	-0.5235
6ecf5085-d31a-469c-ac24-19a423a5262e	1	144442092	147713816	655	0.4888
6ecf5085-d31a-469c-ac24-19a423a5262e	1	147714681	148336809	182	0.3212
6ecf5085-d31a-469c-ac24-19a423a5262e	1	148341125	152583051	1469	0.502
6ecf5085-d31a-469c-ac24-19a423a5262e	1	152583230	152614100	34	-1.6428
6ecf5085-d31a-469c-ac24-19a423a5262e	1	152614118	152787202	168	0.4713
6ecf5085-d31a-469c-ac24-19a423a5262e	1	152789447	152795883	35	-0.2622
6ecf5085-d31a-469c-ac24-19a423a5262e	1	152796094	174827267	14791	0.5101
6ecf5085-d31a-469c-ac24-19a423a5262e	1	174827418	174828549	14	-0.7347
6ecf5085-d31a-469c-ac24-19a423a5262e	1	174832599	175269517	273	0.4915
6ecf5085-d31a-469c-ac24-19a423a5262e	1	175270457	186883753	7772	0.2156
6ecf5085-d31a-469c-ac24-19a423a5262e	1	186888104	196771987	6593	0.2486
6ecf5085-d31a-469c-ac24-19a423a5262e	1	196772151	196847600	49	-0.1196
6ecf5085-d31a-469c-ac24-19a423a5262e	1	196854187	222193326	17381	0.2182
6ecf5085-d31a-469c-ac24-19a423a5262e	1	222201492	222203662	2	-1.5981
6ecf5085-d31a-469c-ac24-19a423a5262e	1	222208792	229675422	4434	0.2124
6ecf5085-d31a-469c-ac24-19a423a5262e	1	229681109	229684449	3	-2.8367
6ecf5085-d31a-469c-ac24-19a423a5262e	1	229684709	230480438	604	0.2319
6ecf5085-d31a-469c-ac24-19a423a5262e	1	230481222	234577637	3248	0.5156
6ecf5085-d31a-469c-ac24-19a423a5262e	1	234577765	235298303	456	0.6132
6ecf5085-d31a-469c-ac24-19a423a5262e	1	235300071	248633912	9519	0.5141
6ecf5085-d31a-469c-ac24-19a423a5262e	1	248645563	248668953	8	-0.4044
6ecf5085-d31a-469c-ac24-19a423a5262e	1	248670664	248930189	133	0.4792
6ecf5085-d31a-469c-ac24-19a423a5262e	2	12784	19848236	15064	0.0271
6ecf5085-d31a-469c-ac24-19a423a5262e	2	19848311	20386745	323	0.2244
6ecf5085-d31a-469c-ac24-19a423a5262e	2	20387416	30204444	5876	0.033
6ecf5085-d31a-469c-ac24-19a423a5262e	2	30209249	30210703	2	1.8502
6ecf5085-d31a-469c-ac24-19a423a5262e	2	30214911	34466002	2802	0.0351
6ecf5085-d31a-469c-ac24-19a423a5262e	2	34474248	34512096	47	0.673
6ecf5085-d31a-469c-ac24-19a423a5262e	2	34512489	41011095	4801	0.0408
6ecf5085-d31a-469c-ac24-19a423a5262e	2	41011303	41018747	22	-0.6342
6ecf5085-d31a-469c-ac24-19a423a5262e	2	41024093	52527743	8180	0.0392
6ecf5085-d31a-469c-ac24-19a423a5262e	2	52531615	52554404	33	-0.4917
6ecf5085-d31a-469c-ac24-19a423a5262e	2	52560811	76701930	15590	0.0339
6ecf5085-d31a-469c-ac24-19a423a5262e	2	76708905	76722438	16	-1.03
6ecf5085-d31a-469c-ac24-19a423a5262e	2	76729368	86710564	6280	0.0433
6ecf5085-d31a-469c-ac24-19a423a5262e	2	86725947	86743283	3	-1.6575
6ecf5085-d31a-469c-ac24-19a423a5262e	2	86744622	146106875	31312	0.0318
6ecf5085-d31a-469c-ac24-19a423a5262e	2	146106889	146109366	21	0.7175
6ecf5085-d31a-469c-ac24-19a423a5262e	2	146120238	177566671	19266	0.0482
6ecf5085-d31a-469c-ac24-19a423a5262e	2	177569816	177570399	2	-2.3063
6ecf5085-d31a-469c-ac24-19a423a5262e	2	177570422	190654900	7771	0.0543
6ecf5085-d31a-469c-ac24-19a423a5262e	2	190669181	190669305	2	2.3069
6ecf5085-d31a-469c-ac24-19a423a5262e	2	190674572	214858582	14567	0.0495
6ecf5085-d31a-469c-ac24-19a423a5262e	2	214865026	214866097	2	-2.723
6ecf5085-d31a-469c-ac24-19a423a5262e	2	214866466	242147305	17371	0.0323
6ecf5085-d31a-469c-ac24-19a423a5262e	3	20930	8492807	7468	0.0471
6ecf5085-d31a-469c-ac24-19a423a5262e	3	8499622	8507199	11	-1.0536
6ecf5085-d31a-469c-ac24-19a423a5262e	3	8507736	43456756	23697	0.0412
6ecf5085-d31a-469c-ac24-19a423a5262e	3	43457256	82883841	25636	-0.1832
6ecf5085-d31a-469c-ac24-19a423a5262e	3	82887017	93800634	3980	0.0691
6ecf5085-d31a-469c-ac24-19a423a5262e	3	93801172	99218940	2844	0.2093
6ecf5085-d31a-469c-ac24-19a423a5262e	3	99225614	99230470	37	0.6647
6ecf5085-d31a-469c-ac24-19a423a5262e	3	99230577	114936935	9451	0.1991
6ecf5085-d31a-469c-ac24-19a423a5262e	3	114941745	114942097	6	-1.1482
6ecf5085-d31a-469c-ac24-19a423a5262e	3	114950103	144257539	18066	0.1909
6ecf5085-d31a-469c-ac24-19a423a5262e	3	144258769	158386873	8715	0.2303
6ecf5085-d31a-469c-ac24-19a423a5262e	3	158389844	158390147	2	-1.5229
6ecf5085-d31a-469c-ac24-19a423a5262e	3	158391590	162790404	2732	0.2424
6ecf5085-d31a-469c-ac24-19a423a5262e	3	162790480	162908207	71	0.7243
6ecf5085-d31a-469c-ac24-19a423a5262e	3	162908784	184333579	12913	0.2372
6ecf5085-d31a-469c-ac24-19a423a5262e	3	184334226	186688156	1506	0.1897
6ecf5085-d31a-469c-ac24-19a423a5262e	3	186688334	186688349	2	-1.6666
6ecf5085-d31a-469c-ac24-19a423a5262e	3	186695072	193156958	4725	0.2136
