GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	62920	783283	24	0.4478
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	787937	2084385	328	-0.0739
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	2084400	3345118	424	-0.1884
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	3350785	14600949	6689	-0.0022
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	14601114	16525019	1172	-0.5069
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	16542868	16641716	22	0.1593
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	16641879	16855942	35	-0.5012
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	16863509	16949746	56	0.4739
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	16951445	24984023	5047	-0.4947
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	24984191	24990737	4	-2.5559
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	24991704	25256850	205	-0.4723
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	25266637	25359294	34	0.3537
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	25359353	26521860	548	-0.4634
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	26521895	26546754	11	-1.2907
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	26549798	27000941	143	-0.4061
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	27001029	45777137	10435	0.0026
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	45778084	72303233	17589	0.0363
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	72303253	72345465	45	-1.6134
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	72346221	102364936	19403	0.0527
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	102365133	102378414	21	0.5306
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	102378611	103560435	578	0.059
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	103560608	103717617	34	0.948
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	103760781	105476583	919	0.0642
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	105476614	105481433	17	1.0288
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	105481448	109028555	2342	0.0642
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	109031904	109062756	4	-1.1951
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	109063745	109679105	286	0.0574
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	109684695	109697533	14	0.7009
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	109697556	110834953	842	0.0672
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	110836273	110859070	54	0.318
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	110859082	112147704	1056	0.0544
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	112153343	112163334	26	-0.4966
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	112163438	143494500	5161	0.0474
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	143541857	143890323	120	-0.7751
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	143893019	152582700	2319	0.0629
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	152583051	152614118	36	1.5802
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	152618018	152787202	167	0.0426
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	152789447	152796224	37	0.7655
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	152801429	196769493	29478	0.0478
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	196769506	196974508	138	0.2932
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	196977676	198335406	738	0.0558
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	198337730	198337802	2	-2.1136
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	198338649	200630571	1611	0.0638
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	200634574	245115191	30914	0.0285
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	245118121	245263357	108	-0.2082
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	245270959	246234914	780	0.0178
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	246235797	248585893	1406	0.0905
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	248585918	248645808	33	-0.6711
ccc6c7f1-4c39-4be9-8585-f43138f766c9	1	248646068	248930189	139	0.025
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	12784	1505788	1018	0.0263
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	1512593	1836847	165	-0.1904
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	1839002	34476327	22902	0.0225
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	34476516	34511990	44	0.9707
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	34512096	37792584	2480	0.0545
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	37793689	37795378	5	-1.2989
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	37795984	50650564	9228	0.0364
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	50651031	51123989	332	0.1637
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	51125144	52527727	958	0.0471
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	52527743	52554404	34	1.1038
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	52560811	59395347	4777	0.0447
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	59399522	59400017	4	-1.9887
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	59411121	146104517	48459	0.0402
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	146106836	146109366	24	-2.0827
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	146120238	217511030	43541	0.0414
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	217511680	231589651	8933	0.013
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	231590943	231593453	5	-1.0388
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	231597793	235038830	2251	0.0071
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	235041276	235051610	7	-0.9678
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	235052935	240737278	3726	-0.0124
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	240737847	240798031	20	-0.613
ccc6c7f1-4c39-4be9-8585-f43138f766c9	2	240806304	242147305	570	-0.0376
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	20930	5481258	4828	0.0662
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	5482783	5490691	8	-0.8656
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	5492501	6604856	981	0.0992
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	6609441	6611645	23	-0.6539
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	6613391	21079417	9942	0.0261
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	21081056	21299371	153	0.2066
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	21301496	21926404	576	0.0251
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	21930381	22262402	291	0.1823
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	22263264	26016308	2849	0.035
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	26018803	26397852	235	0.1801
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	26404482	47358421	13576	0.0364
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	47358841	47363961	3	-1.5446
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	47367722	47398864	10	0.2769
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	47402013	47437019	16	-0.1359
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	47450332	47451230	2	-2.569
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	47455724	52234850	1868	-0.0356
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	52242122	53789884	928	0.0381
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	53790109	54359604	375	0.1694
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	54360339	60335565	4365	0.0077
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	60335841	61042185	745	0.2989
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	61044936	63904052	2328	0.2267
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	63907373	64242072	268	0.3878
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	64244162	64524712	284	0.2204
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	64527012	65202778	660	0.3701
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	65203560	65224777	52	-0.6254
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	65230674	66442028	852	0.3783
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	66442957	66684957	164	0.5808
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	66685142	66833685	143	0.3949
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	66834676	66840313	4	1.2452
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	66840419	67939434	764	0.3931
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	67942474	68019960	26	0.2111
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	68020499	68020895	4	-0.9916
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	68027921	68413984	261	0.2222
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	68414892	68697013	207	0.4075
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	68697108	68698213	13	0.9287
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	68698262	75519398	4931	0.3918
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	75523398	75537654	6	-2.0474
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	75546030	82290729	3785	0.3931
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	82292562	84650607	1196	0.2089
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	84650642	84652985	12	-1.9688
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	84653010	89531656	2840	0.213
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	89532258	89620865	28	0.1665
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	89622183	89624990	8	-1.1422
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	89629449	94101616	373	0.1944
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	94104320	95737262	883	0.0345
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	95748036	95749266	2	1.5656
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	95749836	99225788	1853	0.0482
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	99225919	99230212	20	0.543
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	99230225	108951911	5880	0.054
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	108953667	109135764	129	0.2695
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	109136887	136300257	16776	0.0409
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	136304109	136306584	2	1.8965
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	136319699	146682191	6376	0.0477
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	146682508	147049693	187	0.2151
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	147049993	162822221	9701	0.0615
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	162822685	162822702	2	2.21
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	162827928	162889405	36	-0.0375
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	162889424	163001774	86	0.3238
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	163008371	165858155	1623	0.0579
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	165862415	166113184	139	0.2634
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	166114553	193155915	17331	0.0426
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	193156018	193164983	19	-0.5981
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	193165080	195559056	1485	0.0334
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	195656271	195737995	41	0.5168
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	195746925	197915566	1034	0.0365
ccc6c7f1-4c39-4be9-8585-f43138f766c9	3	197916782	198169247	135	0.1764
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	68929	34777238	22706	0.0378
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	34777340	34823103	44	0.9332
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	34828250	68478894	19464	0.0602
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	68494770	68570906	39	-0.4479
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	68570917	68639397	31	-0.1016
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	68640616	69433003	406	0.1955
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	69433747	69523998	71	-0.0264
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	69524143	69525061	2	-3.373
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	69526170	110082850	24547	0.0545
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	110082985	110083850	8	-1.0352
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	110085282	115769500	3608	0.0466
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	115770578	115925863	80	0.2739
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	115926572	123037287	4253	0.0478
ccc6c7f1-4c39-4be9-8585-f43138f766c9	4	123038597	123079638	15	-0.8775
