GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	62920	86341	11	0.6894
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	98588	15823420	8319	0.0028
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	15827002	15827430	6	-1.8035
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	15827706	16643505	326	-0.0192
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	16643683	16855942	31	0.4292
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	16863509	25256850	5313	0.0083
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	25266637	25320455	24	-1.4487
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	25336819	36008597	5589	0.0187
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	36009805	36012395	2	-1.5709
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	36012683	72297687	23129	0.004
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	72302735	72345465	48	-1.0785
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	72346221	103556030	19983	0.0037
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	103557298	103760781	38	0.3407
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	103760879	105476688	919	0.0151
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	105476748	105486052	20	-0.5963
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	105486456	108223733	1950	-0.0077
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	108226680	108274557	2	-2.2315
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	108310648	109684893	675	-0.0011
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	109690352	109697556	13	-1.1761
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	109702376	112153465	1952	-0.012
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	112153571	112154566	18	0.6006
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	112154576	143603040	5205	0.0077
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	143616013	143762042	80	0.2303
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	143796140	152787202	2522	0.007
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	152789447	152804279	39	0.4073
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	152805967	169247699	11269	0.0028
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	169264736	169272528	7	-1.893
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	169273163	194479104	16718	0.0038
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	194482281	194485888	2	1.8816
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	194487886	212831113	12248	0
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	212831670	212837094	7	-0.9768
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	212841111	229675422	11083	0.002
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	229681109	229684449	3	-2.4334
9f6d6182-a77b-4c77-98aa-f754a8412b63	1	229684709	248930189	13971	0.0022
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	12784	3197646	2249	0.0042
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	3199226	3199974	2	-1.3244
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	3200081	4153079	733	0.0109
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	4155597	4175922	40	-0.6446
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	4175977	14563570	8010	-0.0028
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	14564825	14569897	11	-0.8849
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	14569968	34466002	13029	-0.0019
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	34474248	34511990	46	0.4789
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	34512096	106257550	42450	0.0009
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	106258041	106268557	14	-0.6513
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	106268901	128880904	13381	-0.0005
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	128880928	128882755	15	-0.7233
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	128888874	194112024	39427	-0.0013
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	194122969	194124834	3	-1.687
9f6d6182-a77b-4c77-98aa-f754a8412b63	2	194124876	242147305	30026	0.0002
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	20930	6275672	5553	0.0056
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	6277576	6293785	19	0.6694
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	6296749	6604856	242	0.0055
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	6609441	6611645	23	-2.6967
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	6613391	86734375	53052	0.0013
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	86737636	86746311	7	-0.9086
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	86750894	89337951	1494	0.0036
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	89345442	89371081	53	-0.5722
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	89371323	111524663	10601	0.0043
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	111527558	111527735	2	-2.4046
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	111530468	162790404	31643	-0.0006
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	162790480	162898127	65	-1.5569
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	162906054	193160173	19154	0.0012
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	193160256	193165080	16	1.3166
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	193165099	195474595	1465	-0.0029
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	195514028	195751823	65	-0.3203
9f6d6182-a77b-4c77-98aa-f754a8412b63	3	195751990	198169247	1164	-0.0104
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	68929	7032301	3898	0.0085
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	7036622	7049616	15	-1.0504
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	7049905	34764075	18783	0.0022
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	34764149	34828250	49	-0.4687
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	34828291	43361574	5675	0.0056
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	43361856	43366272	5	-0.9732
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	43372617	68506285	13766	-0.0017
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	68509223	68615175	57	-0.3062
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	68615205	115251455	28307	0.0004
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	115251792	115254969	21	-0.7872
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	115259026	121360818	3706	0.0015
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	121361313	121363827	27	-1.9161
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	121369976	134139102	7184	-0.0003
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	134139427	134236501	47	-0.2851
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	134237048	137171085	1636	0.003
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	137171266	137173818	15	-0.7255
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	137173967	171447380	21384	0.0042
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	171448195	171456559	11	-0.9773
9f6d6182-a77b-4c77-98aa-f754a8412b63	4	171456573	190106768	12478	0.003
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	15532	12800777	10181	-0.0009
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	12815668	12838421	14	-1.4271
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	12849089	58035904	25558	-0.0031
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	58036204	58037688	14	-0.548
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	58037706	69550476	7292	0.0039
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	69571467	69779164	3	-1.4017
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	69822096	96465845	14820	0.0019
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	96466400	96468503	2	-2.3099
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	96468710	150819676	34485	0.0008
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	150822643	150839042	9	-0.9637
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	150843825	178680821	18894	0.0032
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	178682974	178685260	2	-2.2075
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	178686162	179498842	507	0.0061
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	179501760	179509670	4	-1.2303
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	179509694	180951888	837	0.0213
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	180953203	180991103	17	-0.3941
9f6d6182-a77b-4c77-98aa-f754a8412b63	5	181006225	181363319	170	0.0212
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	149661	294443	121	0.0163
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	294474	365138	71	-0.2353
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	365720	29869295	21455	0.0016
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	29869410	29881348	15	0.6626
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	29881490	29882603	5	0.192
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	29903859	29931900	11	-0.6975
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	29933787	31305253	645	0.041
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	31305926	31383638	67	0.3728
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	31383665	32463515	444	0.0237
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	32463775	32605994	35	0.6422
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	32606237	32722250	75	0.1511
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	32723020	32723053	3	1.6841
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	32732907	64627049	17870	0.0044
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	64637651	64639099	2	-2.2649
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	64640883	73882509	6156	0.006
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	73882741	73887625	8	-2.4926
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	73891694	78253157	2767	-0.0031
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	78253172	78329517	115	0.4946
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	78331916	125856298	29377	0.0096
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	125856987	125868540	10	-0.7171
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	125870587	133945130	5177	0.0007
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	133947933	133948494	2	-1.7869
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	133950934	153513990	13079	0.0028
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	153514919	153519835	4	-1.223
9f6d6182-a77b-4c77-98aa-f754a8412b63	6	153524187	170741917	11999	0.0046
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	43355	3355488	1422	-0.0012
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	3355528	3355694	3	-1.6688
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	3359128	6797437	1992	0.0029
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	6799093	6827447	7	-0.9336
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	6828011	9138746	1974	-0.0001
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	9138832	9138993	3	-1.9354
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	9139659	70955452	39184	-0.0004
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	70958264	70961155	2	-2.0361
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	70963257	97766148	15688	0.0027
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	97766150	97774928	16	-0.7093
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	97774965	109801187	6617	-0.0058
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	109801572	109813925	11	0.734
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	109814172	126405502	10021	0.0036
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	126405597	126406822	11	1.1682
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	126406823	126620696	143	-0.0037
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	126621795	126622802	2	-2.29
9f6d6182-a77b-4c77-98aa-f754a8412b63	7	126622941	159334314	20666	0.0025
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	81254	308508	96	0.0281
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	308690	316801	10	-0.6989
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	318482	2742543	1805	0.0113
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	2746316	2751755	3	-1.5124
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	2751943	7473830	5841	0.0011
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	7477487	7941868	19	0.5409
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	7974123	18407644	8607	0.0044
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	18408647	18413675	4	-1.74
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	18413877	25117062	5084	0.0075
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	25117985	25133879	29	-0.5405
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	25133893	50119451	13640	-0.005
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	50119464	50119827	7	-1.7585
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	50120863	94545374	27133	0.0024
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	94545481	94545764	5	1.2224
9f6d6182-a77b-4c77-98aa-f754a8412b63	8	94545887	114619814	12087	0.0011
