GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	62920	1710664	212	0.0347
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	1715891	1741164	13	0.7966
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	1756148	12294250	5998	0.0097
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	12295430	12295446	2	-1.5571
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	12297031	21825156	5780	-0.005
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	21833618	21833764	2	-2.9722
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	21837671	25277975	2019	0.0078
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	25278567	25284961	3	-0.9747
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	25289805	67525427	25769	0.0027
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	67526399	67527394	3	-1.1271
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	67528099	72284670	2947	-0.0009
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	72290430	72297687	9	-0.9497
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	72302735	72345450	47	0.3365
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	72345465	105476583	20930	0.0041
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	105476614	105479753	16	0.7019
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	105481433	112145689	4593	0.0068
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	112147589	112163334	29	0.3241
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	112163438	119758152	4876	0.0017
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	119762883	119762902	2	-1.1591
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	119763366	119979978	149	0.0034
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	119981279	149879339	1154	0.0817
fe532b82-ffb6-4fb9-8b99-e50c1a87e065	1	149881178	152787202	1607	0.01
