GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	62920	266187	17	0.2087
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	462795	462894	2	2.6566
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	599171	793228	7	0.6022
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	805477	16018332	8366	-0.0271
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	16018760	16037445	2	-1.881
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	16041638	16525019	211	0.0017
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	16542868	16679483	34	0.3755
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	16685961	16935752	78	-0.408
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	16949746	19816649	2042	-0.0134
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	19817650	19817839	2	-1.5561
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	19818487	23126249	2002	-0.0072
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	23126733	23126746	2	-1.4277
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	23129797	34626073	6138	-0.0125
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	34637053	34638890	20	-0.5012
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	34648667	61648334	16383	-0.0118
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	61648509	61652515	3	-1.2125
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	61654137	65818053	3058	-0.0048
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	65818353	65818578	2	-1.2831
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	65818975	72302815	4190	-0.0059
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	72303233	72345450	45	-1.2469
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	72345465	86561241	9259	-0.0014
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	86562986	86574262	12	-1.0058
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	86574884	109684893	14198	-0.0056
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	109690352	109697556	13	2.072
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	109702376	112147704	1937	0.0068
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	112153343	112154591	22	-0.5137
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	112154619	150830551	6600	-0.0007
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	150836413	150836640	2	-2.0431
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	150838529	152583051	955	-0.0118
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	152583230	152614100	34	-1.8297
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	1	152614118	248930189	65131	-0.0043
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	2	12784	4158097	2976	0.0112
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	2	4166274	4175577	36	-0.6487
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	2	4175922	41762924	26394	0.0042
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	2	41766444	41766586	2	-1.8151
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	2	41769185	43332933	1090	-0.0068
3ec4dc7e-4da8-4dc9-bcef-56ae4382f2f6	2	43334022	43334280	2	-1.2946
