GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	62920	16785064	8679	0.0037
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	16785682	16935752	59	0.4545
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	16949746	29425113	6990	0.0035
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	29425197	29426937	2	-1.5329
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	29426953	32728037	1977	-0.0063
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	32729071	32730047	2	1.1181
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	32733523	34626073	1240	-0.0012
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	34637053	34637435	6	-0.8869
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	34637541	34638226	5	-0.078
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	34638263	34638890	9	-0.7414
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	34648667	72284670	23666	0.0011
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	72290430	72297687	9	-0.8111
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	72302735	72345465	48	0.9354
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	72346221	105470754	20859	-0.0014
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	105476583	105479753	17	-1.891
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	105481433	112147704	4581	0.0029
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	112153343	112154768	25	0.4126
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	112163334	114289343	1320	0.0025
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	114291004	114291088	2	-1.574
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	114291180	152583051	6245	0.0007
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	152583230	152614118	35	1.1016
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	152618018	187746723	23599	0.0043
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	187748429	187752238	2	-1.7622
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	187755479	196762956	5936	-0.0042
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	196769493	196843377	55	0.2597
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	196843400	196846661	2	4.6221
75c9379e-f892-4127-a12d-5a10cf7bdb10	1	196847600	248930189	35675	-0.0002
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	12784	34485661	24013	-0.0005
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	34485743	34501613	29	-0.3497
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	34501629	34748991	171	-0.0463
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	34750625	35597802	571	0.037
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	35597835	35750907	135	-0.1088
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	35752724	35762850	6	-1.351
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	35762881	52527590	12076	0.002
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	52527727	52554359	32	-0.4
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	52554366	60257774	5414	0.0014
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	60257886	60258026	3	-1.5938
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	60258458	73919850	8224	0.0024
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	73920500	73920691	2	-1.4105
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	73923129	106263639	15692	0.0053
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	106264257	106268901	11	0.648
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	106270799	146104517	23726	0.0017
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	146106836	146109366	24	0.8262
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	146120238	179554927	20431	0.0039
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	179555026	179556770	11	-0.5476
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	179556785	182188931	1713	0.0077
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	182190268	182194473	5	-0.8629
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	182201207	207490231	14670	-0.0029
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	207490454	207494612	16	-0.6477
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	207494752	212322478	3030	0.0122
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	212322531	212327088	22	-0.9296
75c9379e-f892-4127-a12d-5a10cf7bdb10	2	212327101	242147305	18959	0.0007
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	20930	16199049	12832	-0.0025
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	16199122	16199672	5	-2.2223
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	16199818	26560273	7072	0.0025
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	26570006	26570407	8	-1.2593
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	26570470	37935926	7579	-0.0045
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	37940617	37945437	18	-0.852
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	37945615	47358421	5797	-0.0041
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	47358841	47363961	3	-1.1427
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	47367722	47437019	25	-0.003
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	47450332	47451230	2	-2.2973
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	47455724	52989195	2219	0.003
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	52994359	53005263	40	-0.4656
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	53005439	61490094	6351	0.0012
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	61493003	61508578	14	-0.8512
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	61509218	125717394	37711	0.0019
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	125724765	125739919	10	0.9705
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	125743486	128941857	1983	-0.0029
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	128942130	128942143	2	-1.1472
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	128944316	130044016	471	-0.0084
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	130044855	130087393	38	0.5844
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	130088081	158632329	17600	0.0025
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	158633095	158633756	2	-1.6011
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	158641083	162778121	2581	0.011
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	162785334	162908192	77	-0.3293
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	162908207	180758495	10983	0
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	180759507	180759715	2	-2.2557
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	180761369	194920587	9298	0.0043
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	194920617	194921116	4	-0.8959
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	194921751	194974578	43	0.0281
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	194974592	194974592	2	-1.1317
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	194974620	195559056	273	0.0162
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	195656271	195720051	25	-0.8592
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	195728637	195934679	99	-0.0714
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	195963975	195974457	5	-0.8915
75c9379e-f892-4127-a12d-5a10cf7bdb10	3	195982791	198169247	1077	0.0161
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	68929	10208766	5682	0.0052
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	10212536	10233644	36	0.9167
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	10234518	10270469	42	-0.027
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	10271164	10273002	9	-0.7874
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	10273310	12781553	2051	0.0103
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	12783377	12788434	4	-0.8642
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	12788490	14654077	1481	-0.0089
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	14657307	14657416	2	-1.4612
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	14660255	34777432	13327	-0.0005
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	34784878	34822561	37	-0.5918
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	34823103	39702577	3310	-0.0048
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	39702789	39712189	9	-0.7244
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	39712559	63827261	13173	0.001
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	63828222	63850713	29	0.3808
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	63851308	68354665	2840	0.0056
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	68361130	68422424	12	-0.8568
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	68429081	68506285	12	-0.0514
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	68509223	68623617	66	0.5137
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	68639397	114252544	27574	0.0038
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	114254167	114261019	23	-1.1914
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	114263073	151868634	21989	0.0021
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	151870381	151871415	12	-1.0522
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	151871739	171447380	12496	-0.0013
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	171448195	171456573	12	-0.6682
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	171456625	189267889	12071	0.006
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	189273964	189278110	4	-2.5355
75c9379e-f892-4127-a12d-5a10cf7bdb10	4	189278617	190106768	350	0.0092
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	15532	69550476	42906	0.0011
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	69571467	69822308	5	-0.9366
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	69937600	104515520	19447	0.0035
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	104524672	104524903	4	1.3323
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	104525348	156048095	33299	-0.0001
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	156049762	156055719	14	-2.1193
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	156068240	161121148	3495	-0.0015
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	161122691	161126403	4	-1.5256
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	161127134	161170770	33	-0.0109
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	161171884	161172535	3	-0.9219
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	161177883	161684255	330	0.0002
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	161684582	161686640	2	-1.5738
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	161689746	179509604	11835	0.0068
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	179509670	179509721	3	-1.4395
75c9379e-f892-4127-a12d-5a10cf7bdb10	5	179510391	181363319	1020	0.0112
75c9379e-f892-4127-a12d-5a10cf7bdb10	6	149661	253861	99	0.0671
75c9379e-f892-4127-a12d-5a10cf7bdb10	6	254267	294837	25	-0.4712
75c9379e-f892-4127-a12d-5a10cf7bdb10	6	302306	379015	76	0.2875
75c9379e-f892-4127-a12d-5a10cf7bdb10	6	380821	29869295	21379	0.0059
75c9379e-f892-4127-a12d-5a10cf7bdb10	6	29869410	29881490	16	-0.8065
75c9379e-f892-4127-a12d-5a10cf7bdb10	6	29882419	31318499	658	0
75c9379e-f892-4127-a12d-5a10cf7bdb10	6	31318528	31328674	10	0.9997
75c9379e-f892-4127-a12d-5a10cf7bdb10	6	31342147	32463515	494	0.0226
