GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
152bd704-73f7-48ad-9e87-81b170ff996a	1	62920	259926	16	-0.6315
152bd704-73f7-48ad-9e87-81b170ff996a	1	266187	16542868	8625	0.0104
152bd704-73f7-48ad-9e87-81b170ff996a	1	16544783	16569132	2	-1.4235
152bd704-73f7-48ad-9e87-81b170ff996a	1	16570326	16863509	55	-0.2104
152bd704-73f7-48ad-9e87-81b170ff996a	1	16864367	16935752	54	-0.5891
152bd704-73f7-48ad-9e87-81b170ff996a	1	16949746	25256850	5262	0.0064
152bd704-73f7-48ad-9e87-81b170ff996a	1	25266637	25320455	24	-1.6667
152bd704-73f7-48ad-9e87-81b170ff996a	1	25336819	27051941	732	0.0091
152bd704-73f7-48ad-9e87-81b170ff996a	1	27052980	27053459	2	-1.2697
152bd704-73f7-48ad-9e87-81b170ff996a	1	27053461	70777796	27067	0.0014
152bd704-73f7-48ad-9e87-81b170ff996a	1	70779147	70780985	5	-1.0593
152bd704-73f7-48ad-9e87-81b170ff996a	1	70785071	72295173	910	0.0137
152bd704-73f7-48ad-9e87-81b170ff996a	1	72296993	72339279	38	0.3167
152bd704-73f7-48ad-9e87-81b170ff996a	1	72339814	105478582	20947	0.0067
152bd704-73f7-48ad-9e87-81b170ff996a	1	105478597	105479753	11	0.7139
152bd704-73f7-48ad-9e87-81b170ff996a	1	105481433	109684893	2633	0.0079
152bd704-73f7-48ad-9e87-81b170ff996a	1	109690352	109697556	13	1.1258
152bd704-73f7-48ad-9e87-81b170ff996a	1	109702376	112147626	1950	0.005
152bd704-73f7-48ad-9e87-81b170ff996a	1	112147704	112154591	23	-0.4196
152bd704-73f7-48ad-9e87-81b170ff996a	1	112154619	143494500	5152	0.0032
152bd704-73f7-48ad-9e87-81b170ff996a	1	143541857	143710845	88	-0.6632
152bd704-73f7-48ad-9e87-81b170ff996a	1	143713743	152583230	2347	0.0134
152bd704-73f7-48ad-9e87-81b170ff996a	1	152583291	152614100	33	-1.8351
152bd704-73f7-48ad-9e87-81b170ff996a	1	152614118	169247699	11471	0.0038
152bd704-73f7-48ad-9e87-81b170ff996a	1	169264736	169272528	6	-1.6198
152bd704-73f7-48ad-9e87-81b170ff996a	1	169273163	174827418	3518	-0.001
152bd704-73f7-48ad-9e87-81b170ff996a	1	174827561	174828195	6	-0.9287
152bd704-73f7-48ad-9e87-81b170ff996a	1	174828247	187746723	8667	-0.0016
152bd704-73f7-48ad-9e87-81b170ff996a	1	187748429	187752238	2	-1.4645
152bd704-73f7-48ad-9e87-81b170ff996a	1	187755479	193187149	3567	0.0182
152bd704-73f7-48ad-9e87-81b170ff996a	1	193187187	193187202	2	1.6285
152bd704-73f7-48ad-9e87-81b170ff996a	1	193187218	196758720	2394	0.0075
152bd704-73f7-48ad-9e87-81b170ff996a	1	196761905	196762956	3	-1.3103
152bd704-73f7-48ad-9e87-81b170ff996a	1	196769493	196846661	57	0.2797
152bd704-73f7-48ad-9e87-81b170ff996a	1	196847600	201895111	3313	0.0024
152bd704-73f7-48ad-9e87-81b170ff996a	1	201903136	201908738	2	-1.3481
152bd704-73f7-48ad-9e87-81b170ff996a	1	201909348	209897717	5465	0.0019
152bd704-73f7-48ad-9e87-81b170ff996a	1	209908268	209910639	3	-1.8291
