GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	62920	86341	11	0.8785
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	98588	822089	22	-0.161
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	822543	6257061	2873	-0.4091
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	6257229	6259807	3	-2.1404
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	6263905	16041638	5501	-0.4066
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	16041908	16042482	2	1.3571
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	16047835	16480729	197	-0.4153
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	16482199	16766922	57	-0.1414
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	16767520	16958425	72	-0.6728
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	16959715	20576669	2554	-0.3953
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	20577492	20577528	2	-2.209
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	20584515	25256850	2688	-0.3967
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	25266637	25320455	24	-1.4148
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	25336819	45881707	11196	-0.4024
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	45890476	54624527	4792	-0.339
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	54627618	54628716	2	-1.9692
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	54630777	55257768	468	-0.3705
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	55258350	55258626	6	-2.2674
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	55263695	57407153	1791	-0.3211
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	57407188	57407315	3	-1.829
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	57408376	57675501	218	-0.3398
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	57676136	57676225	2	1.5193
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	57683089	67640822	7356	-0.3284
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	67642813	67645112	6	-1.4624
5f56b47e-4809-4bf8-b155-6ffa7ef4408b	1	67646045	105620568	23955	-0.3192
