GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	62920	15822848	8336	0.0095
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	15823420	15828515	11	0.6863
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	15839166	16864367	356	-0.0443
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	16868660	16956580	57	0.3995
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	16958425	21974705	3331	0.0008
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	21974983	22010750	11	-0.7818
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	22011632	25256850	1914	0.0052
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	25266637	25319167	20	-1.5848
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	25319693	63003832	22388	0.0039
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	63005821	63006432	3	-1.2641
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	63007197	72303233	6350	0.0068
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	72303253	72345465	45	-1.3087
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	72346221	109684893	23600	0.0026
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	109690352	109697556	13	1.7946
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	109702376	110833598	836	-0.0083
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	110834746	110845604	39	-0.6804
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	110849445	152790414	8919	0.0124
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	152790427	152796224	22	-0.4361
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	152801429	169247699	11282	0.0133
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	169264736	169272528	7	-2.1426
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	169273163	174827267	3516	0.001
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	174827418	174832702	16	-0.5853
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	174832716	196790158	14676	0.0101
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	196792690	196829513	11	0.3993
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	196829534	196846661	11	1.1206
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	196847600	196932623	61	0.5796
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	196936029	203937000	4478	0.0055
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	203939357	203945276	10	-0.9655
da6e66ae-a363-4b34-887b-dbbf52ec884b	1	203952540	248930189	31258	0.0089
da6e66ae-a363-4b34-887b-dbbf52ec884b	2	12784	52527727	37130	0.0169
da6e66ae-a363-4b34-887b-dbbf52ec884b	2	52527743	52554188	27	0.672
da6e66ae-a363-4b34-887b-dbbf52ec884b	2	52554236	87225631	22035	0.006
da6e66ae-a363-4b34-887b-dbbf52ec884b	2	87228594	87229739	2	-1.6821
da6e66ae-a363-4b34-887b-dbbf52ec884b	2	87245291	87286164	16	-0.0464
da6e66ae-a363-4b34-887b-dbbf52ec884b	2	87287256	87295819	3	-1.339
da6e66ae-a363-4b34-887b-dbbf52ec884b	2	87299357	106263639	7372	0.0005
da6e66ae-a363-4b34-887b-dbbf52ec884b	2	106264257	106268901	11	-1.8322
da6e66ae-a363-4b34-887b-dbbf52ec884b	2	106270799	183929073	47102	-0.003
da6e66ae-a363-4b34-887b-dbbf52ec884b	2	183929124	183937588	17	-0.7321
da6e66ae-a363-4b34-887b-dbbf52ec884b	2	183937714	242147305	35752	0.0012
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	20930	6604856	5814	0.0117
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	6609441	6611645	23	-0.9706
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	6613391	55263731	31593	0.0002
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	55265963	55267559	3	-1.4214
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	55267907	68697013	10342	0.0069
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	68697108	68698213	13	-1.3672
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	68698262	75481744	4911	0.0008
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	75481836	75519398	17	-0.3956
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	75523398	75537654	6	0.9568
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	75546030	95737262	9121	0.0053
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	95748036	95749266	2	-3.4833
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	95749836	95967237	106	-0.0605
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	95967766	95973096	3	-1.1907
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	95974222	99218940	1737	0.0099
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	99225614	99230212	27	-0.7151
da6e66ae-a363-4b34-887b-dbbf52ec884b	3	99230225	198169247	60949	0.0019
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	68929	3926172	1580	-0.0139
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	3939505	4081209	37	-0.3938
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	4091837	4568222	319	-0.0037
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	4568278	4568330	2	-1.3552
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	4570810	9444321	3214	-0.0057
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	9445117	9519212	21	-0.5344
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	9527502	34771893	17523	-0.0016
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	34777238	34839673	55	0.4241
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	34839742	44958427	6574	-0.0045
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	44958572	44958799	3	-1.2857
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	44962462	49087357	2370	0.0104
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	49091769	51833610	45	-0.3443
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	51834605	63265451	7237	0.0084
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	63265520	63285942	6	-0.9578
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	63288849	63823000	303	0.001
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	63825160	63841863	26	-0.2936
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	63841887	63842411	4	-1.3666
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	63842490	68544538	2890	0.0015
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	68548054	68615219	44	-0.3673
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	68616004	69261926	322	0.0089
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	69261934	69366304	54	-0.5038
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	69366406	130120778	36737	-0.0031
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	130121002	130133076	2	-3.2059
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	130137041	137170949	3836	-0.0012
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	137171041	137171910	14	-0.6803
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	137172260	155964036	11572	0.0076
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	155966920	155967367	6	-1.0322
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	155969109	156035480	52	0.0112
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	156046823	156053545	17	-0.5655
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	156056476	171448195	9741	0.0056
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	171453733	171456559	10	-0.9404
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	171456573	172066777	399	0.0298
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	172067997	172068382	12	-1.5653
da6e66ae-a363-4b34-887b-dbbf52ec884b	4	172074828	190106768	12074	0.0146
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	15532	12800777	10182	0.011
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	12815668	12819964	9	1.0997
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	12824299	46191782	20443	0.0147
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	46195781	46199333	4	-1.3879
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	46209197	46251204	13	0.0501
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	46270906	46273400	8	1.1228
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	46278110	58025819	5071	0.0191
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	58030200	58037706	32	1.937
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	58042530	104513999	26830	0.014
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	104515520	104524903	5	-1.5062
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	104525348	113988573	6355	0.0149
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	113991308	113999692	11	-1.0789
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	114001271	150819676	23412	0.0157
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	150822643	150839042	9	-0.944
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	150843825	156044327	3627	0.0213
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	156044566	156045045	4	0.7689
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	156045123	156049910	7	-0.6271
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	156049988	156055719	12	-2.3191
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	156068240	158908470	1999	0.0061
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	158912096	158933062	10	-0.6911
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	158936449	180947523	14593	0.0158
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	180951710	181006225	20	0.7116
da6e66ae-a363-4b34-887b-dbbf52ec884b	5	181006264	181363319	169	0.0613
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	149661	254283	101	-0.0457
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	257353	384521	105	0.4825
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	384546	29881348	21449	0.0038
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	29881490	29946443	23	-0.4353
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	29946838	31313046	642	0.0066
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	31318499	31328674	11	-1.3536
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	31342147	32463515	497	0.0259
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	32463775	32606604	39	0.8303
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	32610305	66298393	19057	0.006
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	66299130	66338736	55	-0.7001
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	66339513	73882142	4999	0.003
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	73882509	73891694	10	-0.6535
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	73893839	76718872	1760	0.0082
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	76719482	76731658	12	0.5296
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	76731725	76733530	5	1.1491
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	76736482	76742972	9	0.4253
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	76743040	78252576	973	-0.0014
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	78252864	78316279	98	-0.2584
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	78316427	103286928	15480	0.0011
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	103286941	103303689	23	0.4634
da6e66ae-a363-4b34-887b-dbbf52ec884b	6	103304002	170741917	44178	0.0012
