GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	62920	2536961	489	0.0751
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	2541819	14328929	6761	-0.104
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	14329842	14330371	2	-1.8806
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	14330704	16719082	1433	-0.1121
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	16719266	16934716	66	-0.6322
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	16934753	45160503	16167	-0.0966
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	45169109	45186569	8	-1.5284
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	45199908	68556488	15584	-0.0904
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	68556886	72303233	2192	0.0627
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	72303253	72345465	45	-1.2071
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	72346221	72492226	82	-0.0256
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	72494684	74755466	1373	0.0771
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	74755631	95277924	13391	-0.0165
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	95278039	103616762	5109	0.1184
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	103620877	103717617	6	1.0941
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	103760781	105476583	915	0.1216
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	105476614	105479753	16	0.9401
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	105481433	108712919	2135	0.1382
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	108713513	109684893	494	0.2368
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	109690352	109697556	13	1.5339
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	109702376	111750410	1576	0.3121
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	111750508	112147704	372	0.1805
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	112153343	112154768	25	-1.2623
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	112163334	114374517	1383	0.198
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	114380480	114712194	153	-0.1149
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	114712242	147671762	4388	-0.0309
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	147672474	152583051	1663	-0.1036
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	152583230	152613802	32	2.2609
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	152614064	152778761	161	-0.0445
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	152782154	152801429	46	0.3096
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	152804279	154509497	961	-0.1247
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	154512312	155529466	527	0.1485
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	155536158	159553838	2528	-0.0848
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	159555958	161649268	1243	0.1325
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	161678447	165164044	2755	-0.0966
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	165166700	165492675	373	0.1371
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	165492716	169246873	2852	-0.092
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	169247699	169272528	8	-1.7723
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	169273163	169550656	178	-0.0859
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	169559342	174827128	3323	0.288
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	174827267	174832599	16	-0.5485
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	174832702	196709206	14565	0.2893
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	196710325	196846661	94	0.6081
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	196847600	202598144	3674	0.2756
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	202598425	202598658	3	1.7551
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	202599414	204877644	1601	0.248
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	204883715	209897717	3481	0.0323
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	209908268	209910639	3	-2.0868
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	1	209913207	248930189	26945	0.0475
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	12784	52511902	37042	0.152
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	52511964	52554404	45	0.8094
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	52560811	59395347	4768	0.1619
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	59399522	59416363	6	1.177
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	59417321	86710564	17096	0.1546
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	86725947	86726731	2	-2.2646
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	86743283	87070167	73	0.0636
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	87070602	87103855	9	0.4588
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	87110846	87674944	115	-0.6468
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	87695122	146104517	31066	0.1545
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	146106836	146109366	24	1.1085
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	146120238	154033296	4871	0.1695
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	154039462	154039969	2	-2.1298
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	154043710	178066361	14700	0.1665
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	178068550	232377024	33130	-0.0939
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	232377193	232377633	5	1.2404
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	232377647	241841244	6067	-0.1135
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	241973315	242001132	32	-0.8652
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	242011715	242016144	5	0.6307
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	242016173	242092368	66	-0.9443
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	2	242095460	242147305	24	-0.1724
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	20930	60992990	41613	-0.2457
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	60993838	61015627	16	-0.9215
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	61016190	84053071	15605	-0.2406
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	84056282	84057015	2	-3.0177
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	84061816	86080000	1140	-0.2435
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	86086222	93824162	2307	0.0415
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	93824358	162524023	41614	0.2741
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	162524271	162795304	161	0.1137
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	162795361	162898127	61	-1.1445
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	162906054	175171165	7433	0.2813
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	175171893	175666218	447	0.1324
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	175676285	178920193	1957	0.2888
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	178920642	178933173	5	-0.8631
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	178936828	193160173	9268	0.2728
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	193160256	193165114	18	2.0944
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	3	193168646	198169247	2691	0.2596
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	4	68929	10208766	5690	-0.2623
12d2f969-2231-4bbc-81c1-34b3ae8f80eb	4	10221792	10232984	31	0.576
