GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	62920	98588	12	-0.5597
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	98602	15822793	8324	-0.0518
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	15822848	15841285	14	0.4974
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	15841304	21495264	3457	-0.0538
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	21496658	21500073	7	-1.1299
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	21501899	25256850	2202	-0.0434
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	25266637	25336853	26	0.4738
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	25346663	30259533	2382	-0.0549
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	30261189	30269103	12	-0.8399
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	30272363	54975403	13892	-0.0529
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	54977932	57186265	1777	-0.0959
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	57186279	57188987	5	0.7381
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	57192363	60788336	2679	-0.0854
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	60789947	60790628	2	-1.4719
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	60790881	61654909	690	-0.0989
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	61655092	72302815	7293	-0.0358
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	72303233	72345465	46	-1.6375
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	72346221	109684893	23606	-0.0308
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	109690352	109697556	13	-1.605
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	109702376	110566910	611	-0.0406
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	110567564	110567605	2	1.341
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	110568144	112153465	1337	-0.071
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	112153571	112163506	29	0.3661
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	112163518	121705338	5156	-0.0652
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	143459641	152583051	2444	0.4393
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	152583230	152614118	35	-2.2154
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	152618018	152718349	99	0.38
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	152720567	152721221	3	1.1603
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	152721717	152784330	63	0.4177
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	152785214	152804279	41	-0.1665
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	152805967	153366548	458	0.3934
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	153368173	153371898	3	-0.328
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	153373787	153587321	111	0.4099
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	153587655	163322572	6072	0.4473
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	163324544	163324738	3	-0.6029
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	163325544	168089033	3693	0.4491
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	168089536	169247699	946	0.4007
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	169264736	169269507	6	1.2839
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	169272528	177680074	5399	0.4431
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	177682075	177682093	2	-0.8066
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	177682203	189190942	7731	0.4454
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	189193276	189585024	239	0.5612
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	189586644	189679027	71	0.4183
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	189679353	189679397	2	-1.0478
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	189682917	192615665	1910	0.4528
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	192617179	192617726	4	-0.8491
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	192618733	194479104	1370	0.4594
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	194482281	194485888	2	2.0417
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	194487886	204413461	6433	0.4536
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	204414328	211440456	4919	0.4094
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	211444675	214898829	2354	0.4448
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	214899261	214899761	3	-0.6929
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	214900823	222847162	5547	0.4415
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	222849581	222850427	3	-0.8972
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	222853375	226817303	2434	0.4367
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	226819271	226819481	3	-0.9487
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	226825995	228347149	867	0.4041
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	228347663	228358786	7	1.0336
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	228359059	228512270	59	0.3965
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	228514917	228515739	3	-1.1427
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	228515743	229675422	723	0.4347
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	229681109	229684449	3	1.5417
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	229684709	235117260	4242	0.4185
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	235124437	235124487	2	-2.207
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	235136069	237594313	1765	0.4638
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	237596139	237601360	4	-0.559
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	237602357	248420269	7759	0.4608
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	248422999	248546369	32	0.1954
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	248550567	248661836	39	0.9312
7d5e5ff9-9ac5-413d-8373-4e8189081dce	1	248661962	248930189	137	0.4742
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	12784	295255	180	-0.0077
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	296789	296812	2	-1.7233
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	296852	7986831	6117	-0.0298
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	7987785	7995913	9	-1.079
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	7996487	14563570	4733	-0.0275
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	14564825	14569968	12	-0.9635
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	14570240	22376054	5598	-0.0265
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	22378048	22378060	2	-1.4146
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	22378280	31365966	5519	-0.0481
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	31366930	31368051	5	-0.8768
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	31369457	31783361	170	-0.0591
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	31785506	32825749	457	-0.001
7d5e5ff9-9ac5-413d-8373-4e8189081dce	2	32826462	32827696	4	-0.9087
