GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	62920	82315	6	-0.7294
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	82650	822089	27	-0.0101
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	822543	3093405	621	0.2318
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	3094022	16115220	7801	0.1437
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	16118179	16570326	190	-0.2116
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	16583114	16643961	27	-1.1633
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	16679239	16855942	26	-0.612
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	16863509	16931448	46	0.0318
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	16932568	25256800	5263	-0.2513
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	25256850	25292440	17	0.3861
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	25292549	62449224	22049	-0.2415
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	62456989	62581387	47	0.1618
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	62583411	72303233	6608	-0.8166
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	72303253	72331729	27	-1.4491
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	72332911	80881871	5379	-0.8051
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	80886564	81422771	405	0.0988
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	81422917	81423009	5	0.8029
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	81423039	81891553	366	0.1045
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	81902256	84427868	1674	0.4225
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	84427920	94668626	6593	0.1303
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	94668661	94687064	42	0.4093
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	94687243	95002689	270	0.1313
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	95005255	99427583	2698	0.4119
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	99434831	105476583	3531	0.1122
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	105476614	105479753	16	0.6442
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	105481433	107010846	1020	0.1149
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	107011418	109690640	1617	-0.2368
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	109690705	109707614	14	0.2563
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	109707950	110858171	883	-0.2287
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	110858213	110860873	10	0.2591
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	110860935	112153571	1055	-0.2483
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	112153651	112163460	26	0.1721
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	112163496	113385160	773	-0.2349
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	113388169	119298970	3684	-0.8111
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	119299676	143459641	677	0.1237
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	143494500	147026222	318	0.5355
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	147027063	152583051	2124	0.4177
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	152583230	152613762	31	-1.7142
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	152613802	152784298	167	0.3605
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	152785214	152795805	35	0.0867
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	152795862	158896783	3618	0.4086
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	158898711	158899969	2	1.911
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	158905028	160781315	1274	0.401
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	160789428	169247699	6391	0.1299
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	169264736	169272528	7	1.0901
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	169273163	185127444	10523	0.1213
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	185134141	185160305	13	0.7807
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	185164934	188074057	1883	0.1067
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	188078936	188123049	26	-0.7639
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	188127562	189679027	991	0.1353
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	189679353	189679397	2	-1.9744
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	189682917	196758720	4738	0.1283
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	196761905	196843377	58	0.6581
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	196843400	196846661	2	-1.0977
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	196847600	199138574	1374	0.11
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	199142235	199143883	8	0.9592
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	199144712	210867695	8142	0.1242
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	210870553	210876416	6	-1.0876
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	210878153	248574146	26105	0.1215
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	248585893	248633912	32	-0.8386
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	1	248645563	248930189	140	0.1581
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	12784	4158097	2985	0.1072
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	4166274	4187192	44	-0.6169
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	4187794	34466002	21051	0.102
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	34474248	34511990	46	-0.508
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	34512096	57490957	16618	0.1124
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	57493084	60958588	2293	0.0742
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	60966518	77746919	10427	0.1178
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	77749572	77759560	9	-0.9533
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	77762186	87286164	5742	0.1077
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	87287256	87287267	2	-1.2606
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	87295819	87370352	15	0.0394
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	87400642	87465499	9	-0.4832
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	87466706	89993007	721	0.11
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	89993280	90262403	110	-0.49
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	90281849	97359885	944	0.1012
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	97524284	97545726	9	-0.7943
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	97550415	99945087	1311	0.1319
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	99946803	102605151	1794	-0.2716
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	102609946	122722323	11961	0.0858
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	122724137	122724665	7	-0.7701
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	122726077	123505623	572	0.1322
db7bc967-6d2a-49d9-81e8-d83261fe3a9b	2	123508498	125684646	1374	0.0452
