GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	62920	2424341	460	0.0285
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	2426371	2438059	3	-1.2778
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	2461209	15823420	7868	-0.0011
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	15827002	15827430	6	-1.7226
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	15827706	16041638	90	0.0144
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	16041908	16052921	5	1.0176
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	16063071	16883108	267	0.0315
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	16884157	16951445	52	0.5502
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	16955930	72303233	34007	0.0007
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	72303253	72345465	45	-1.2549
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	72346221	109684893	23600	0.0075
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	109690352	109697556	13	1.0659
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	109702376	119801482	6886	0.0068
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	119802257	147705291	1031	0.0808
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	147713816	152583230	1656	0.0076
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	152583291	152618018	35	-1.7508
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	152618089	152789447	166	0.0407
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	152789463	152790593	19	0.8955
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	152794991	169247699	11297	0.0014
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	169264736	169272528	7	-2.2321
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	169273163	174827267	3519	0.0107
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	174827418	174832702	16	-2.1537
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	174832716	248546369	50317	-0.0003
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	248550567	248633912	35	-0.6619
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	1	248645563	248930189	140	0.0505
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	2	12784	4158097	2987	-0.0013
73756267-aeab-4b4a-bb7d-cf9379fd8ff2	2	4166274	4176243	41	-0.7146
