GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	62920	25133189	13936	-0.0097
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	25133246	25133261	2	-1.9843
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	25133468	54199451	15842	0.0123
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	54202457	65555735	8534	-0.2862
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	65556199	65796076	183	0.015
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	65799558	72302815	4244	0.5296
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	72303233	72345465	46	1.553
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	72346221	75974538	2191	0.5364
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	75975815	77135005	912	0.9789
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	77135464	80434415	1994	0.5245
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	80437889	90616643	6854	0.9839
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	90620341	92711321	1270	0.5028
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	92713899	95102802	1573	-0.2772
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	95106813	95209154	52	0.5204
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	95210955	95210962	2	1.6372
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	95214568	97070398	1160	0.5373
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	97076087	98138867	579	-0.2812
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	98139674	106841976	5284	-0.2472
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	106842560	112153931	3697	-0.2902
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	112153950	112163506	22	0.2482
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	112163518	121601998	5149	-0.2896
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	121705338	152583051	2445	0.6844
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	152583230	152613641	30	1.2842
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	152613762	152787202	172	0.6551
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	152789447	152796094	36	-1.9552
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	152796224	152801429	2	-0.0378
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	152804279	153754520	645	0.7313
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	153755156	161533104	4613	0.6876
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	161539001	163915590	1810	0.6209
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	163917463	172481250	6445	0.7342
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	172481549	174827418	1299	0.5383
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	174827561	174832782	18	-0.1351
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	174832869	196745692	14642	0.5438
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	196745743	196843377	60	0.1752
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	196843400	196846661	2	5.3641
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	196847600	199138574	1375	0.5492
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	199142235	199145110	10	-0.1912
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	199145262	202598144	2302	0.5225
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	202598425	202598658	3	-0.4646
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	202599414	202907135	211	0.532
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	202909364	207865339	3159	0.9767
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	207865887	209913207	1734	0.5391
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	209920149	210439184	369	1.0272
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	210441948	210441949	2	-0.3684
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	210446867	211306211	609	0.9924
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	211311628	219305872	5581	0.5528
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	219305896	220815595	1040	-0.2933
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	220815988	232794004	7821	0.4977
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	232794311	235646128	2127	-0.3071
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	235654850	235992142	168	-1.351
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	235996234	237001777	812	-0.3098
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	237005074	243247202	4807	0.508
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	243263904	243304309	28	0.7634
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	243304531	247025232	2561	0.9892
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	247027642	248608256	936	0.8851
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	248609114	248646068	20	0.6408
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	248661836	248668953	5	-0.4072
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	248670664	248715146	36	0.309
cdf3df5d-f875-4dcf-96fc-04dd76291c00	1	248718762	248930189	96	-0.4336
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	12784	295136	179	0.2478
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	295255	300879	5	-0.668
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	301380	14563570	10858	0.2848
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	14564825	14569968	12	-0.6093
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	14570240	24376374	6878	0.2875
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	24376380	24388259	20	-0.5702
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	24388858	34485758	6152	0.2748
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	34485794	34511990	35	-0.2435
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	34512096	38727353	3178	0.2914
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	38728724	38753780	11	0.8682
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	38753905	52527743	9822	0.2845
cdf3df5d-f875-4dcf-96fc-04dd76291c00	2	52531615	52554404	33	0.9932
