GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
8817b640-f385-4838-a90d-56e2deed4b68	chr1	13116	33891203	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr1	33892597	33898974	1	1	0
8817b640-f385-4838-a90d-56e2deed4b68	chr1	33900502	248945703	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr2	10587	78798469	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr2	78799887	83824074	3	2	1
8817b640-f385-4838-a90d-56e2deed4b68	chr2	83825321	242183243	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr3	18519	82429796	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr3	82430820	82439103	3	2	1
8817b640-f385-4838-a90d-56e2deed4b68	chr3	82440977	82606531	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr3	82607580	83486382	3	2	1
8817b640-f385-4838-a90d-56e2deed4b68	chr3	83487499	138128558	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr3	138129826	138140323	1	1	0
8817b640-f385-4838-a90d-56e2deed4b68	chr3	138142761	198181744	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr4	11961	190122722	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr5	11882	181363900	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr6	100116	66970333	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr6	66971515	70097539	3	2	1
8817b640-f385-4838-a90d-56e2deed4b68	chr6	70098993	170740469	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr7	20608	62432597	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr7	62433685	62446930	2	2	0
8817b640-f385-4838-a90d-56e2deed4b68	chr7	62448902	62983781	3	2	1
8817b640-f385-4838-a90d-56e2deed4b68	chr7	62985168	77717152	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr7	77718380	78085210	3	2	1
8817b640-f385-4838-a90d-56e2deed4b68	chr7	78086302	159334386	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr8	61774	1565405	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr8	1566583	1582042	3	2	1
8817b640-f385-4838-a90d-56e2deed4b68	chr8	1583058	145078402	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr9	10469	40224391	3	2	1
8817b640-f385-4838-a90d-56e2deed4b68	chr9	40229289	43070419	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr9	60839871	64921539	3	2	1
8817b640-f385-4838-a90d-56e2deed4b68	chr9	64922931	138256233	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr10	15029	133787009	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr11	87268	135076424	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr12	11065	133264676	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr13	18445955	36220689	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr13	36221811	37502171	3	2	1
8817b640-f385-4838-a90d-56e2deed4b68	chr13	37504016	114343123	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr14	18223583	106420107	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr14	106421232	106473508	1	1	0
8817b640-f385-4838-a90d-56e2deed4b68	chr14	106474734	106880670	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr15	19795285	101980591	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr16	10291	90226358	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr17	151035	83237603	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr18	16444	80259190	2	1	1
8817b640-f385-4838-a90d-56e2deed4b68	chr19	157892	27251444	2	1	1
