GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e6be1a74-50e3-44d2-b43f-c817b774d825	1	62920	3301765	738	0.214
e6be1a74-50e3-44d2-b43f-c817b774d825	1	3302046	16488499	7889	-0.0004
e6be1a74-50e3-44d2-b43f-c817b774d825	1	16489035	16973488	134	0.4659
e6be1a74-50e3-44d2-b43f-c817b774d825	1	16973678	16975177	2	-0.6892
e6be1a74-50e3-44d2-b43f-c817b774d825	1	16976074	21971792	3319	0.0047
e6be1a74-50e3-44d2-b43f-c817b774d825	1	21974705	22118216	80	0.2885
e6be1a74-50e3-44d2-b43f-c817b774d825	1	22118317	27052980	2603	0.0154
e6be1a74-50e3-44d2-b43f-c817b774d825	1	27053459	27053461	2	1.5343
e6be1a74-50e3-44d2-b43f-c817b774d825	1	27054388	30265687	1657	-0.0064
e6be1a74-50e3-44d2-b43f-c817b774d825	1	30266452	30266949	3	-1.8081
e6be1a74-50e3-44d2-b43f-c817b774d825	1	30268649	30272363	4	1.0028
e6be1a74-50e3-44d2-b43f-c817b774d825	1	30274729	30666733	330	0.0193
e6be1a74-50e3-44d2-b43f-c817b774d825	1	30667100	30789158	85	0.255
e6be1a74-50e3-44d2-b43f-c817b774d825	1	30789990	32427952	767	0.0074
e6be1a74-50e3-44d2-b43f-c817b774d825	1	32428780	32435247	3	1.1294
e6be1a74-50e3-44d2-b43f-c817b774d825	1	32435639	34637432	1370	-0.0134
e6be1a74-50e3-44d2-b43f-c817b774d825	1	34637435	34638721	12	0.6345
e6be1a74-50e3-44d2-b43f-c817b774d825	1	34638795	72280898	23742	0
e6be1a74-50e3-44d2-b43f-c817b774d825	1	72284165	72297687	11	-0.9923
e6be1a74-50e3-44d2-b43f-c817b774d825	1	72302735	72345465	48	1.2159
e6be1a74-50e3-44d2-b43f-c817b774d825	1	72346221	78913621	4122	-0.0063
e6be1a74-50e3-44d2-b43f-c817b774d825	1	78914426	78937765	11	-0.7251
e6be1a74-50e3-44d2-b43f-c817b774d825	1	78945296	103616762	15882	-0.0081
e6be1a74-50e3-44d2-b43f-c817b774d825	1	103620877	103717410	5	1.7916
e6be1a74-50e3-44d2-b43f-c817b774d825	1	103717617	109690352	3569	-0.0047
e6be1a74-50e3-44d2-b43f-c817b774d825	1	109690415	109702376	13	-0.9162
e6be1a74-50e3-44d2-b43f-c817b774d825	1	109703504	119567888	6692	0.0018
e6be1a74-50e3-44d2-b43f-c817b774d825	1	119568996	119583381	27	0.5139
e6be1a74-50e3-44d2-b43f-c817b774d825	1	119584367	120146498	309	0.0543
e6be1a74-50e3-44d2-b43f-c817b774d825	1	120370887	120385535	2	1.8377
