GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
36580769-a6b5-4b97-9f62-d5378c0d906c	1	62920	12715883	6433	-0.0026
36580769-a6b5-4b97-9f62-d5378c0d906c	1	12716131	12720256	3	-1.6381
36580769-a6b5-4b97-9f62-d5378c0d906c	1	12721914	25256850	7574	0.0001
36580769-a6b5-4b97-9f62-d5378c0d906c	1	25266637	25320455	24	-1.3728
36580769-a6b5-4b97-9f62-d5378c0d906c	1	25336819	72284670	28713	0
36580769-a6b5-4b97-9f62-d5378c0d906c	1	72290430	72297687	9	-0.9288
36580769-a6b5-4b97-9f62-d5378c0d906c	1	72302735	105470132	20989	0.01
36580769-a6b5-4b97-9f62-d5378c0d906c	1	105470754	105479753	18	0.707
36580769-a6b5-4b97-9f62-d5378c0d906c	1	105481433	108223733	1958	0.0136
36580769-a6b5-4b97-9f62-d5378c0d906c	1	108226680	108274557	2	-3.2119
36580769-a6b5-4b97-9f62-d5378c0d906c	1	108310648	109684893	675	0.0034
36580769-a6b5-4b97-9f62-d5378c0d906c	1	109690352	109707614	18	-0.5018
36580769-a6b5-4b97-9f62-d5378c0d906c	1	109707950	112147704	1945	-0.01
36580769-a6b5-4b97-9f62-d5378c0d906c	1	112153343	112154754	24	0.6441
36580769-a6b5-4b97-9f62-d5378c0d906c	1	112154768	143494500	5163	0.0023
36580769-a6b5-4b97-9f62-d5378c0d906c	1	143541857	143893019	121	-0.6294
36580769-a6b5-4b97-9f62-d5378c0d906c	1	143921397	152583291	2319	0.0248
36580769-a6b5-4b97-9f62-d5378c0d906c	1	152583319	152613762	29	-1.8732
36580769-a6b5-4b97-9f62-d5378c0d906c	1	152613802	152783832	165	-0.0259
36580769-a6b5-4b97-9f62-d5378c0d906c	1	152783934	152805967	46	0.415
36580769-a6b5-4b97-9f62-d5378c0d906c	1	152806050	174827418	14798	0.0008
36580769-a6b5-4b97-9f62-d5378c0d906c	1	174827561	174828177	5	-1.4563
36580769-a6b5-4b97-9f62-d5378c0d906c	1	174828195	196769506	14646	0.004
36580769-a6b5-4b97-9f62-d5378c0d906c	1	196769638	196855470	61	0.3774
36580769-a6b5-4b97-9f62-d5378c0d906c	1	196858725	209897717	8777	-0.0001
36580769-a6b5-4b97-9f62-d5378c0d906c	1	209908268	209913207	4	1.2052
36580769-a6b5-4b97-9f62-d5378c0d906c	1	209920149	229675422	13040	0.001
36580769-a6b5-4b97-9f62-d5378c0d906c	1	229681109	229684449	3	-2.6158
36580769-a6b5-4b97-9f62-d5378c0d906c	1	229684709	243129825	10246	0.0028
36580769-a6b5-4b97-9f62-d5378c0d906c	1	243131680	243189078	23	0.4737
36580769-a6b5-4b97-9f62-d5378c0d906c	1	243190549	248930189	3697	0.0193
36580769-a6b5-4b97-9f62-d5378c0d906c	2	12784	295255	179	0.0533
36580769-a6b5-4b97-9f62-d5378c0d906c	2	296789	296852	3	-1.4897
36580769-a6b5-4b97-9f62-d5378c0d906c	2	300879	4158097	2803	-0.0155
36580769-a6b5-4b97-9f62-d5378c0d906c	2	4166274	4175577	36	-0.7256
36580769-a6b5-4b97-9f62-d5378c0d906c	2	4175922	34476516	21051	0.0031
36580769-a6b5-4b97-9f62-d5378c0d906c	2	34476558	34476668	3	-2.7781
36580769-a6b5-4b97-9f62-d5378c0d906c	2	34483565	34492841	23	-1.1117
36580769-a6b5-4b97-9f62-d5378c0d906c	2	34492907	34511990	17	-2.4672
36580769-a6b5-4b97-9f62-d5378c0d906c	2	34512096	35752875	873	0.0543
36580769-a6b5-4b97-9f62-d5378c0d906c	2	35759563	35761650	2	-2.5422
36580769-a6b5-4b97-9f62-d5378c0d906c	2	35761842	54372135	13527	0.0128
36580769-a6b5-4b97-9f62-d5378c0d906c	2	54374105	54480896	112	-0.8894
36580769-a6b5-4b97-9f62-d5378c0d906c	2	54481120	87287267	20562	0.0037
36580769-a6b5-4b97-9f62-d5378c0d906c	2	87295819	87299357	2	1.889
36580769-a6b5-4b97-9f62-d5378c0d906c	2	87299505	97359885	1797	0.0186
36580769-a6b5-4b97-9f62-d5378c0d906c	2	97524284	97545247	8	-1.0236
36580769-a6b5-4b97-9f62-d5378c0d906c	2	97545726	146444896	29584	0.0022
36580769-a6b5-4b97-9f62-d5378c0d906c	2	146445647	146459173	2	1.8451
36580769-a6b5-4b97-9f62-d5378c0d906c	2	146460490	184451949	23494	0.0008
36580769-a6b5-4b97-9f62-d5378c0d906c	2	184452153	184453319	2	2.0479
36580769-a6b5-4b97-9f62-d5378c0d906c	2	184453824	228895073	27153	0.0022
36580769-a6b5-4b97-9f62-d5378c0d906c	2	228895091	228895120	2	-2.0679
36580769-a6b5-4b97-9f62-d5378c0d906c	2	228895197	242147305	8197	-0.0017
36580769-a6b5-4b97-9f62-d5378c0d906c	3	20930	68697108	47769	0.0098
36580769-a6b5-4b97-9f62-d5378c0d906c	3	68697133	68698262	13	-1.2768
36580769-a6b5-4b97-9f62-d5378c0d906c	3	68699607	75329202	4847	0.0081
36580769-a6b5-4b97-9f62-d5378c0d906c	3	75331295	75338306	5	-1.099
36580769-a6b5-4b97-9f62-d5378c0d906c	3	75338404	84809725	5167	0.0137
36580769-a6b5-4b97-9f62-d5378c0d906c	3	84819683	84821735	3	-1.3992
36580769-a6b5-4b97-9f62-d5378c0d906c	3	84821836	99218940	5878	0.0138
36580769-a6b5-4b97-9f62-d5378c0d906c	3	99225614	99230577	38	0.3783
36580769-a6b5-4b97-9f62-d5378c0d906c	3	99232120	130067097	18700	0.007
36580769-a6b5-4b97-9f62-d5378c0d906c	3	130067366	130087209	31	0.7462
36580769-a6b5-4b97-9f62-d5378c0d906c	3	130087393	143566923	8364	-0.0019
36580769-a6b5-4b97-9f62-d5378c0d906c	3	143566958	143567132	4	1.3058
36580769-a6b5-4b97-9f62-d5378c0d906c	3	143567959	161797809	11212	0.006
36580769-a6b5-4b97-9f62-d5378c0d906c	3	161797839	161797861	2	1.6821
36580769-a6b5-4b97-9f62-d5378c0d906c	3	161798156	162813082	689	0.0028
36580769-a6b5-4b97-9f62-d5378c0d906c	3	162815162	162822221	5	-0.6865
36580769-a6b5-4b97-9f62-d5378c0d906c	3	162822685	162822702	2	-2.2406
36580769-a6b5-4b97-9f62-d5378c0d906c	3	162827928	193160256	19202	0.0064
36580769-a6b5-4b97-9f62-d5378c0d906c	3	193160406	193165114	17	-1.0307
36580769-a6b5-4b97-9f62-d5378c0d906c	3	193168646	198169247	2693	-0.0039
36580769-a6b5-4b97-9f62-d5378c0d906c	4	68929	6419679	3515	-0.0112
36580769-a6b5-4b97-9f62-d5378c0d906c	4	6420624	6421333	5	-1.06
36580769-a6b5-4b97-9f62-d5378c0d906c	4	6421471	10208766	2181	-0.0191
36580769-a6b5-4b97-9f62-d5378c0d906c	4	10221792	10229874	28	2.3757
36580769-a6b5-4b97-9f62-d5378c0d906c	4	10232590	10233644	7	0.7544
36580769-a6b5-4b97-9f62-d5378c0d906c	4	10234518	10390730	171	-0.0522
36580769-a6b5-4b97-9f62-d5378c0d906c	4	10391530	10399044	15	-0.7038
36580769-a6b5-4b97-9f62-d5378c0d906c	4	10401094	30064714	13971	0.0045
36580769-a6b5-4b97-9f62-d5378c0d906c	4	30065230	30069394	2	-2.2584
36580769-a6b5-4b97-9f62-d5378c0d906c	4	30069571	107129798	45595	0.0086
36580769-a6b5-4b97-9f62-d5378c0d906c	4	107130169	107154866	36	-0.636
36580769-a6b5-4b97-9f62-d5378c0d906c	4	107154967	137171085	17670	0.0088
36580769-a6b5-4b97-9f62-d5378c0d906c	4	137171266	137173804	14	-0.8625
36580769-a6b5-4b97-9f62-d5378c0d906c	4	137173818	152556774	9261	-0.001
36580769-a6b5-4b97-9f62-d5378c0d906c	4	152560583	152561148	2	-1.7973
36580769-a6b5-4b97-9f62-d5378c0d906c	4	152564280	156035480	2364	0.0106
