GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e9aaac06-b502-4822-9c84-308092fda5ab	1	62920	869076	49	-0.0541
e9aaac06-b502-4822-9c84-308092fda5ab	1	874393	3214026	652	0.0735
e9aaac06-b502-4822-9c84-308092fda5ab	1	3218611	57391638	31538	0.0017
e9aaac06-b502-4822-9c84-308092fda5ab	1	57391718	57391980	2	-1.402
e9aaac06-b502-4822-9c84-308092fda5ab	1	57391984	72284670	10433	0.0037
e9aaac06-b502-4822-9c84-308092fda5ab	1	72290430	72297687	9	-2.8423
e9aaac06-b502-4822-9c84-308092fda5ab	1	72302735	72345465	48	1.4281
e9aaac06-b502-4822-9c84-308092fda5ab	1	72346221	109684893	23511	0.0026
e9aaac06-b502-4822-9c84-308092fda5ab	1	109690352	109692006	10	-1.4156
e9aaac06-b502-4822-9c84-308092fda5ab	1	109696900	112147704	1951	0.0057
e9aaac06-b502-4822-9c84-308092fda5ab	1	112153343	112154619	23	-1.9052
e9aaac06-b502-4822-9c84-308092fda5ab	1	112154754	121558757	5141	0.0062
e9aaac06-b502-4822-9c84-308092fda5ab	1	121561051	143754062	127	0.1996
e9aaac06-b502-4822-9c84-308092fda5ab	1	143754077	144451288	22	-0.0029
e9aaac06-b502-4822-9c84-308092fda5ab	1	144451316	144932423	9	-0.74
e9aaac06-b502-4822-9c84-308092fda5ab	1	145642976	152583291	2293	0.0306
e9aaac06-b502-4822-9c84-308092fda5ab	1	152583319	152613762	29	1.8012
e9aaac06-b502-4822-9c84-308092fda5ab	1	152613802	196745743	29561	0.0036
e9aaac06-b502-4822-9c84-308092fda5ab	1	196758720	196846661	61	-1.8403
e9aaac06-b502-4822-9c84-308092fda5ab	1	196847600	209897717	8756	0.0027
e9aaac06-b502-4822-9c84-308092fda5ab	1	209908268	209908720	2	-1.5528
e9aaac06-b502-4822-9c84-308092fda5ab	1	209910639	248930189	26944	0.0038
e9aaac06-b502-4822-9c84-308092fda5ab	2	12784	12176936	9321	0.0136
e9aaac06-b502-4822-9c84-308092fda5ab	2	12178340	12178726	2	-1.6104
e9aaac06-b502-4822-9c84-308092fda5ab	2	12178984	14563570	1695	0.0048
e9aaac06-b502-4822-9c84-308092fda5ab	2	14564825	14569897	11	-0.9219
e9aaac06-b502-4822-9c84-308092fda5ab	2	14570240	34295406	12900	0.0035
e9aaac06-b502-4822-9c84-308092fda5ab	2	34298911	34300513	2	-2.5868
e9aaac06-b502-4822-9c84-308092fda5ab	2	34300900	52527743	13109	0.0049
e9aaac06-b502-4822-9c84-308092fda5ab	2	52531615	52554404	33	0.7495
e9aaac06-b502-4822-9c84-308092fda5ab	2	52560811	71971741	12774	-0.0007
e9aaac06-b502-4822-9c84-308092fda5ab	2	71973749	71973834	2	-1.5639
e9aaac06-b502-4822-9c84-308092fda5ab	2	71976174	97359885	11019	0.0088
e9aaac06-b502-4822-9c84-308092fda5ab	2	97524284	97545247	8	-1.1215
e9aaac06-b502-4822-9c84-308092fda5ab	2	97545726	106258266	5558	0.0037
e9aaac06-b502-4822-9c84-308092fda5ab	2	106263639	106270799	13	-1.5131
e9aaac06-b502-4822-9c84-308092fda5ab	2	106270952	152939554	27972	-0.0009
e9aaac06-b502-4822-9c84-308092fda5ab	2	152940256	152940270	2	-1.4476
e9aaac06-b502-4822-9c84-308092fda5ab	2	152944055	163780342	6366	-0.0004
e9aaac06-b502-4822-9c84-308092fda5ab	2	163786978	163788616	5	-1.0363
e9aaac06-b502-4822-9c84-308092fda5ab	2	163790132	183929673	12646	0.0008
e9aaac06-b502-4822-9c84-308092fda5ab	2	183929787	183937714	16	-0.8521
e9aaac06-b502-4822-9c84-308092fda5ab	2	183943862	194449998	5873	-0.0035
e9aaac06-b502-4822-9c84-308092fda5ab	2	194450855	194451285	3	-1.3171
e9aaac06-b502-4822-9c84-308092fda5ab	2	194451916	212316590	10801	-0.0002
e9aaac06-b502-4822-9c84-308092fda5ab	2	212316597	212327101	26	-0.7522
e9aaac06-b502-4822-9c84-308092fda5ab	2	212327402	242147305	18964	0.0021
