GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c786802a-7f68-4170-a26b-38362eb5b5f7	1	62920	86341	11	-0.5641
c786802a-7f68-4170-a26b-38362eb5b5f7	1	98588	13407061	6532	0.2562
c786802a-7f68-4170-a26b-38362eb5b5f7	1	13412699	16685961	2138	0.3099
c786802a-7f68-4170-a26b-38362eb5b5f7	1	16686246	16864367	24	0.6685
c786802a-7f68-4170-a26b-38362eb5b5f7	1	16868660	25256800	5311	0.2979
c786802a-7f68-4170-a26b-38362eb5b5f7	1	25256850	25320455	25	-0.2802
c786802a-7f68-4170-a26b-38362eb5b5f7	1	25336819	30261189	2386	0.2899
c786802a-7f68-4170-a26b-38362eb5b5f7	1	30264526	30266949	8	-0.7534
c786802a-7f68-4170-a26b-38362eb5b5f7	1	30268649	43973302	7860	0.31
c786802a-7f68-4170-a26b-38362eb5b5f7	1	43976849	61647430	11183	0.0492
c786802a-7f68-4170-a26b-38362eb5b5f7	1	61648334	61649279	2	-2.519
c786802a-7f68-4170-a26b-38362eb5b5f7	1	61652515	72297687	7295	0.0694
c786802a-7f68-4170-a26b-38362eb5b5f7	1	72302735	72345450	47	-1.5082
c786802a-7f68-4170-a26b-38362eb5b5f7	1	72345465	87622307	9954	0.0716
c786802a-7f68-4170-a26b-38362eb5b5f7	1	87622483	87765623	117	0.3778
c786802a-7f68-4170-a26b-38362eb5b5f7	1	87765801	89437916	1112	0.0628
c786802a-7f68-4170-a26b-38362eb5b5f7	1	89438986	89445874	2	-1.2413
c786802a-7f68-4170-a26b-38362eb5b5f7	1	89449165	90891032	955	0.0724
c786802a-7f68-4170-a26b-38362eb5b5f7	1	90893502	90963478	35	0.4244
c786802a-7f68-4170-a26b-38362eb5b5f7	1	90967153	96582528	3571	0.0625
c786802a-7f68-4170-a26b-38362eb5b5f7	1	96582551	105470754	5206	0.2197
c786802a-7f68-4170-a26b-38362eb5b5f7	1	105476583	105479753	17	-0.4857
c786802a-7f68-4170-a26b-38362eb5b5f7	1	105481433	109684893	2635	0.2152
c786802a-7f68-4170-a26b-38362eb5b5f7	1	109690352	109697556	13	-1.1105
c786802a-7f68-4170-a26b-38362eb5b5f7	1	109702376	112147704	1950	0.1968
c786802a-7f68-4170-a26b-38362eb5b5f7	1	112153343	112154566	20	-0.1827
c786802a-7f68-4170-a26b-38362eb5b5f7	1	112154576	112612402	348	0.1992
c786802a-7f68-4170-a26b-38362eb5b5f7	1	112613322	112615638	2	-1.6309
c786802a-7f68-4170-a26b-38362eb5b5f7	1	112620816	119583199	4401	0.2113
c786802a-7f68-4170-a26b-38362eb5b5f7	1	119583215	119583381	3	-0.8841
c786802a-7f68-4170-a26b-38362eb5b5f7	1	119584367	143546558	415	0.1633
c786802a-7f68-4170-a26b-38362eb5b5f7	1	143546851	145694477	151	0.4448
c786802a-7f68-4170-a26b-38362eb5b5f7	1	145698014	152582700	2287	0.6817
c786802a-7f68-4170-a26b-38362eb5b5f7	1	152583051	152613802	33	-1.671
c786802a-7f68-4170-a26b-38362eb5b5f7	1	152614064	152614118	3	-0.5944
c786802a-7f68-4170-a26b-38362eb5b5f7	1	152618018	152620051	15	0.7814
c786802a-7f68-4170-a26b-38362eb5b5f7	1	152621368	152710232	73	0.535
c786802a-7f68-4170-a26b-38362eb5b5f7	1	152711704	152766750	57	0.7335
c786802a-7f68-4170-a26b-38362eb5b5f7	1	152767131	153699771	683	0.2617
c786802a-7f68-4170-a26b-38362eb5b5f7	1	153701198	153755619	24	0.6439
c786802a-7f68-4170-a26b-38362eb5b5f7	1	153762893	154758625	473	0.3208
c786802a-7f68-4170-a26b-38362eb5b5f7	1	154764619	155184594	219	0.3849
c786802a-7f68-4170-a26b-38362eb5b5f7	1	155205866	155890300	305	0.487
c786802a-7f68-4170-a26b-38362eb5b5f7	1	155892233	157660073	995	0.299
c786802a-7f68-4170-a26b-38362eb5b5f7	1	157660685	158896783	976	0.1766
c786802a-7f68-4170-a26b-38362eb5b5f7	1	158898711	158899969	2	1.8346
c786802a-7f68-4170-a26b-38362eb5b5f7	1	158905028	159322630	280	0.0778
c786802a-7f68-4170-a26b-38362eb5b5f7	1	159330747	159863943	371	0.489
c786802a-7f68-4170-a26b-38362eb5b5f7	1	159864938	160191416	203	0.0465
c786802a-7f68-4170-a26b-38362eb5b5f7	1	160193082	163138051	2037	0.225
c786802a-7f68-4170-a26b-38362eb5b5f7	1	163138213	163238593	89	0.0504
c786802a-7f68-4170-a26b-38362eb5b5f7	1	163242933	165587111	1922	0.3851
c786802a-7f68-4170-a26b-38362eb5b5f7	1	165587781	165866127	182	0.2201
c786802a-7f68-4170-a26b-38362eb5b5f7	1	165866311	165866453	3	1.1253
c786802a-7f68-4170-a26b-38362eb5b5f7	1	165868741	167772922	1448	0.1744
c786802a-7f68-4170-a26b-38362eb5b5f7	1	167775080	169247699	1137	0.2905
c786802a-7f68-4170-a26b-38362eb5b5f7	1	169264736	169272528	7	1.3475
c786802a-7f68-4170-a26b-38362eb5b5f7	1	169273163	169720551	326	0.3089
c786802a-7f68-4170-a26b-38362eb5b5f7	1	169720659	169839925	104	0.0072
c786802a-7f68-4170-a26b-38362eb5b5f7	1	169845036	187746723	11779	0.1733
c786802a-7f68-4170-a26b-38362eb5b5f7	1	187748429	187752238	2	-2.0387
c786802a-7f68-4170-a26b-38362eb5b5f7	1	187755479	193186662	3570	0.199
c786802a-7f68-4170-a26b-38362eb5b5f7	1	193187149	193187202	3	1.3291
c786802a-7f68-4170-a26b-38362eb5b5f7	1	193187218	194257853	803	0.2068
c786802a-7f68-4170-a26b-38362eb5b5f7	1	194262903	194360062	52	-0.1473
c786802a-7f68-4170-a26b-38362eb5b5f7	1	194360607	196745743	1541	0.2004
c786802a-7f68-4170-a26b-38362eb5b5f7	1	196758720	196832525	57	-0.636
c786802a-7f68-4170-a26b-38362eb5b5f7	1	196832720	200231728	2161	0.202
c786802a-7f68-4170-a26b-38362eb5b5f7	1	200231823	208264476	5243	0.1521
c786802a-7f68-4170-a26b-38362eb5b5f7	1	208265639	208283592	31	0.7869
c786802a-7f68-4170-a26b-38362eb5b5f7	1	208284364	209897717	1355	0.1693
c786802a-7f68-4170-a26b-38362eb5b5f7	1	209908268	209908720	2	-1.815
c786802a-7f68-4170-a26b-38362eb5b5f7	1	209910639	223750072	9532	0.1796
c786802a-7f68-4170-a26b-38362eb5b5f7	1	223750252	246780043	16252	0.2079
c786802a-7f68-4170-a26b-38362eb5b5f7	1	246780235	246782363	3	-1.164
c786802a-7f68-4170-a26b-38362eb5b5f7	1	246782442	247020598	140	0.2125
c786802a-7f68-4170-a26b-38362eb5b5f7	1	247021059	248461036	903	0.3292
c786802a-7f68-4170-a26b-38362eb5b5f7	1	248463321	248463796	2	-1.3422
c786802a-7f68-4170-a26b-38362eb5b5f7	1	248467495	248930189	193	0.2844
c786802a-7f68-4170-a26b-38362eb5b5f7	2	12784	29630	9	0.0367
c786802a-7f68-4170-a26b-38362eb5b5f7	2	30143	34346	4	-1.121
c786802a-7f68-4170-a26b-38362eb5b5f7	2	36862	4158097	2973	0.1989
c786802a-7f68-4170-a26b-38362eb5b5f7	2	4166274	4175577	36	-2.3292
c786802a-7f68-4170-a26b-38362eb5b5f7	2	4175922	14563570	8016	0.2201
c786802a-7f68-4170-a26b-38362eb5b5f7	2	14564825	14569968	12	-5.6009
c786802a-7f68-4170-a26b-38362eb5b5f7	2	14570240	21338140	5002	0.2183
c786802a-7f68-4170-a26b-38362eb5b5f7	2	21341140	24376380	1878	-0.1829
c786802a-7f68-4170-a26b-38362eb5b5f7	2	24378642	24388858	20	-1.1012
c786802a-7f68-4170-a26b-38362eb5b5f7	2	24390690	28303339	1899	-0.1897
c786802a-7f68-4170-a26b-38362eb5b5f7	2	28305402	28464176	103	0.1176
c786802a-7f68-4170-a26b-38362eb5b5f7	2	28469195	34466002	4139	-0.1774
c786802a-7f68-4170-a26b-38362eb5b5f7	2	34474248	34515572	50	-0.5707
c786802a-7f68-4170-a26b-38362eb5b5f7	2	34515690	35750907	868	-0.13
c786802a-7f68-4170-a26b-38362eb5b5f7	2	35752724	35762850	6	-1.7286
c786802a-7f68-4170-a26b-38362eb5b5f7	2	35762881	40189779	3255	-0.165
c786802a-7f68-4170-a26b-38362eb5b5f7	2	40192530	40505811	274	0.2319
