GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f4b2f8da-ad22-4e30-a12a-639830999074	1	62920	12774437	6484	-0.0526
f4b2f8da-ad22-4e30-a12a-639830999074	1	12775725	12867264	35	-0.5984
f4b2f8da-ad22-4e30-a12a-639830999074	1	12868035	16542868	2125	-0.0352
f4b2f8da-ad22-4e30-a12a-639830999074	1	16544783	16785682	53	-0.5206
f4b2f8da-ad22-4e30-a12a-639830999074	1	16787932	25277975	5329	-0.0639
f4b2f8da-ad22-4e30-a12a-639830999074	1	25278567	25284961	3	-1.6954
f4b2f8da-ad22-4e30-a12a-639830999074	1	25289805	34637053	4958	-0.0541
f4b2f8da-ad22-4e30-a12a-639830999074	1	34637069	34638890	19	-0.5869
f4b2f8da-ad22-4e30-a12a-639830999074	1	34648667	72303233	23765	-0.0418
f4b2f8da-ad22-4e30-a12a-639830999074	1	72303253	72345465	45	-1.4046
f4b2f8da-ad22-4e30-a12a-639830999074	1	72346221	91727707	12707	-0.0287
f4b2f8da-ad22-4e30-a12a-639830999074	1	91728105	91730095	2	-2.2126
f4b2f8da-ad22-4e30-a12a-639830999074	1	91730496	94665268	1697	-0.0345
f4b2f8da-ad22-4e30-a12a-639830999074	1	94665962	94669551	11	-0.5949
f4b2f8da-ad22-4e30-a12a-639830999074	1	94669599	102364168	4978	-0.0212
f4b2f8da-ad22-4e30-a12a-639830999074	1	102364241	102364435	4	-1.0442
f4b2f8da-ad22-4e30-a12a-639830999074	1	102364451	103557298	600	-0.0001
f4b2f8da-ad22-4e30-a12a-639830999074	1	103560166	103760879	38	0.408
f4b2f8da-ad22-4e30-a12a-639830999074	1	103761017	108187137	2870	-0.0297
f4b2f8da-ad22-4e30-a12a-639830999074	1	108191613	108202381	11	-0.7071
f4b2f8da-ad22-4e30-a12a-639830999074	1	108202617	109690431	690	-0.0189
f4b2f8da-ad22-4e30-a12a-639830999074	1	109690640	109697556	10	-1.2881
f4b2f8da-ad22-4e30-a12a-639830999074	1	109702376	121561051	7121	-0.0352
f4b2f8da-ad22-4e30-a12a-639830999074	1	121562160	143541857	16	0.2714
f4b2f8da-ad22-4e30-a12a-639830999074	1	143545399	143942271	125	0.8879
f4b2f8da-ad22-4e30-a12a-639830999074	1	144432083	152583230	2317	0.2965
f4b2f8da-ad22-4e30-a12a-639830999074	1	152583291	152613762	30	-1.5
f4b2f8da-ad22-4e30-a12a-639830999074	1	152613802	152787202	171	0.2779
