GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	62920	3298168	737	0.1384
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	3301765	16877002	7969	-0.0012
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	16883108	16949746	52	-0.3728
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	16951445	25125946	5171	-0.0011
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	25126604	25256850	93	0.1276
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	25266637	25320455	24	-1.4167
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	25336819	60889725	20856	0.0041
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	60890295	60890385	2	-1.4879
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	60893723	72302815	7888	0.0005
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	72303233	72345465	46	-1.5798
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	72346221	104497098	20449	0.0011
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	104503262	104508392	4	-1.1492
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	104512295	108824363	2731	-0.0031
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	108827892	108829252	2	-1.1156
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	108830979	109679105	419	0.0189
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	109684695	109702376	16	0.4398
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	109703504	119978092	7010	0.0052
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	119979030	149948714	1181	0.0843
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	149948757	152583051	1386	0.01
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	152583230	152613762	31	-1.6668
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	152613802	152787202	171	-0.0186
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	152789447	152796224	37	-1.227
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	152801429	174827267	14810	0.0009
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	174827418	174828549	14	-0.693
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	174832599	175601955	562	0.0223
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	175602191	175720427	107	0.1785
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	175720543	190906172	10114	0.0018
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	190906514	190906879	2	-1.5978
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	190906973	246488245	38327	0.0015
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	246494264	246799220	202	0.1632
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	246799717	248546369	1045	0.0024
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	248550567	248874237	145	0.1664
5f243fe6-c414-4edd-aefe-bfe48bb90010	1	248874411	248930189	31	-0.0782
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	12784	4168830	2992	0.0292
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	4168862	4175577	32	-0.5836
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	4175922	34295406	20976	0.0007
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	34298911	34300513	2	-2.0336
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	34300900	36109476	1295	0.0007
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	36109597	36112153	7	-1.83
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	36112167	36112411	5	-0.7153
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	36123960	52527330	11843	-0.0029
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	52527342	52527423	3	-0.7361
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	52527590	52527743	3	-2.3559
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	52531615	52554404	33	-0.355
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	52560811	106263639	29437	0.004
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	106264257	106268557	10	-0.7075
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	106268901	124673210	10865	0.0009
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	124678553	124680551	6	-1.01
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	124681992	172690673	29066	0.0013
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	172691152	172691308	2	-2.057
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	172694340	196833011	14505	-0.0014
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	196836237	196839324	2	-1.3572
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	196843988	207490231	6380	0.0017
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	207490454	207494612	16	-0.8402
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	207494752	241841244	21958	-0.0007
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	241973315	242095460	104	-0.8232
5f243fe6-c414-4edd-aefe-bfe48bb90010	2	242095518	242147305	23	-0.001
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	20930	46760471	33192	0.0055
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	46760515	46807689	36	-0.795
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	46808099	65202778	12093	0.0036
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	65203560	65224479	49	-0.572
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	65224624	75390630	7313	0.0025
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	75392096	75519398	56	0.2355
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	75523398	75537654	6	-1.1488
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	75546030	128686328	29094	-0.0003
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	128686360	128693488	6	0.8706
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	128695318	146028590	10645	0.0105
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	146029061	146038136	4	-1.2691
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	146038641	162807070	10295	0.0037
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	162810842	162845543	16	0.8701
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	162845719	162908207	42	0.3757
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	162908784	193162798	19177	0.0016
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	193162937	193165114	11	-1.3968
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	193168646	195673928	1486	0.0071
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	195683075	195720051	22	0.6025
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	195728637	195920379	84	0.1848
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	195921637	198094588	1055	0.0245
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	198106066	198111566	28	0.2435
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	198118345	198121262	6	-0.7211
5f243fe6-c414-4edd-aefe-bfe48bb90010	3	198121788	198169247	11	0.164
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	68929	1068450	366	0.0887
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	1072166	3467927	1028	0.0142
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	3470435	3503396	12	0.5618
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	3503721	9811402	3879	0.0246
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	9812051	10208518	417	0.0805
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	10208570	10229874	32	0.3739
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	10232590	10343715	144	0.0785
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	10344621	63828222	33436	-0.001
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	63831751	63840033	20	-1.0063
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	63841863	63842540	8	-2.9678
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	63850713	68354665	2851	-0.01
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	68361130	68395346	7	1.2464
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	68416487	68494770	15	-0.414
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	68501424	68623617	68	0.5256
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	68639397	76368633	4627	0.0029
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	76370923	76371213	4	-1.7721
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	76371648	78712578	1716	0.0092
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	78721263	78965889	118	0.5955
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	78965898	78968657	2	-0.1388
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	78970410	79072668	93	0.4817
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	79072883	79080556	3	1.4355
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	79081513	79368930	137	0.5736
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	79369877	79504585	66	0.4302
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	79504609	79570666	32	0.5738
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	79570787	88899454	5727	-0.0003
5f243fe6-c414-4edd-aefe-bfe48bb90010	4	88905089	88928519	13	-1.0728
