GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	62920	939522	60	-0.111
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	939652	3304487	683	0.1053
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	3305057	15827002	7588	-0.0366
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	15827041	15828471	8	0.8165
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	15828515	16643961	329	-0.012
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	16679239	16993283	102	0.3261
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	16997950	25256850	5237	-0.0325
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	25266637	25320455	24	0.8422
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	25336819	70777796	27796	-0.027
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	70779147	70780985	5	-1.4032
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	70785071	72318471	931	-0.019
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	72318487	72343689	25	0.5534
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	72343748	96195036	15486	-0.0167
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	96196178	96304811	66	0.102
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	96310402	96442962	88	0.4259
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	96443081	98423119	1105	0.1375
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	98423345	99358069	623	0.0022
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	99358177	99359630	2	-1.429
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	99361917	105476614	3558	-0.0104
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	105476688	105479753	15	0.8895
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	105481433	108223733	1956	-0.0256
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	108226680	108274557	2	-2.5979
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	108310648	112147704	2634	-0.0238
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	112153343	112154576	21	0.6538
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	112154591	120370887	5060	-0.0209
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	120385535	121386039	22	0.4039
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	121389102	121593055	73	-0.0139
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	121593930	152583051	2447	0.5226
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	152583230	152613762	31	-1.8194
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	152613802	152614118	4	-0.2928
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	152618018	152787202	167	0.5587
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	152789447	152796224	37	0.0173
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	152801429	153584088	573	0.5217
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	153587321	157096337	1649	0.4728
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	157096513	169230187	9051	0.5267
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	169234328	169238714	3	1.9086
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	169244180	193186662	15779	0.5368
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	193187149	193187218	4	-0.6915
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	193190593	196769493	2399	0.5521
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	196769506	196846661	56	-0.2491
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	196847600	200234677	2156	0.5452
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	200235195	206487941	3979	0.4967
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	206488085	214288866	5565	0.5269
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	214292252	223121912	6154	0.5557
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	223122995	240228440	12084	0.5264
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	240230715	240230839	6	-1.8762
d471679b-dc25-4f7c-9e29-eecd3d1f167f	1	240232805	248930189	5857	0.5648
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	12784	3166763	2199	0.0732
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	3167186	3265394	112	0.243
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	3265711	34466002	21754	0.0472
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	34474248	34511990	46	0.7491
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	34512096	78182882	29619	0.0515
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	78183018	85674755	4670	0.004
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	85675112	86710564	643	0.0626
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	86725947	86743283	3	-1.1952
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	86744622	89993007	875	0.0511
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	89993280	94841983	228	0.1494
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	94842526	97359380	825	0.2885
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	97359885	97545726	10	-0.5904
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	97550415	132462590	20622	0.1695
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	132463077	191411466	36299	0.2048
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	191412645	191414330	4	-1.6588
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	191414819	194122969	1453	0.204
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	194123143	194124834	2	-1.6558
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	194124876	212316597	10997	0.197
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	212321824	212327434	27	-0.3873
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	212327454	228397576	10500	0.1977
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	228399698	228401658	2	-3.0876
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	228404140	242087337	8463	0.1887
d471679b-dc25-4f7c-9e29-eecd3d1f167f	2	242087663	242147305	29	0.0688
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	20930	65202778	45270	0.1102
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	65203560	65224640	51	-0.52
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	65224777	67805917	1865	0.1242
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	67808618	67814232	8	-0.9797
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	67816412	68676600	546	0.146
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	68682877	68698262	16	1.0908
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	68699607	75519398	4924	0.123
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	75523398	75537654	6	1.2695
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	75546030	84651178	4980	0.122
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	84651212	84652985	7	-1.0164
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	84653010	93822296	3142	0.1176
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	93824162	130067097	21562	-0.0752
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	130067366	130079892	26	0.7836
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	130079938	132273893	1441	-0.0598
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	132273929	132276840	3	-1.7799
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	132281633	136300257	2584	-0.0876
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	136304109	136306584	2	-2.4143
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	136319699	162794869	16212	-0.0757
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	162794951	162908207	69	0.5052
d471679b-dc25-4f7c-9e29-eecd3d1f167f	3	162908784	175362822	7639	-0.0794
