GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	62920	16785682	8677	-0.0163
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	16787932	16898730	17	-0.6608
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	16898872	16909203	5	0.2203
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	16909357	16959715	42	-0.6529
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	16959824	21825156	3241	-0.0088
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	21833618	21833764	2	-1.9859
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	21837671	25256850	2006	-0.0205
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	25266637	25320455	24	-1.7437
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	25336819	72284670	28663	-0.013
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	72290430	72297687	9	-1.0054
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	72302735	72351338	52	0.3241
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	72352916	105476583	20897	-0.0046
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	105476614	105479753	16	-2.007
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	105481433	108186662	1935	-0.0042
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	108187137	108192255	3	-1.2172
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	108194874	109684893	693	-0.0072
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	109690352	109697556	13	-0.8817
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	109702376	121598439	7120	-0.0098
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	121601998	152583291	2440	0.2821
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	152583319	152613641	28	1.2131
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	152613762	152790039	183	0.2848
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	152790180	152796224	26	0.8571
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	152801429	169763420	11631	0.291
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	169763822	169765043	2	-1.3101
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	169765336	187746723	11813	0.2973
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	187748429	187752238	2	-1.5675
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	187755479	194479104	4505	0.3014
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	194482281	194485888	2	-1.5874
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	194487886	196745743	1449	0.3118
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	196758720	196769493	5	1.5435
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	196769506	196843377	54	0.5637
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	196843400	196846661	2	-3.6392
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	196847600	209897717	8769	0.2998
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	209908268	209910639	3	-2.1463
3602277e-f86f-4509-93d2-5cbbd7b397ab	1	209913207	248930189	26964	0.2958
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	12784	34437911	24029	0.0129
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	34438291	34515732	60	0.5119
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	34515960	40796778	4624	0.0064
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	40798632	40801641	2	1.8834
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	40803268	52527330	8343	0.0144
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	52527342	52554404	39	-2.0799
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	52560811	106258193	29370	0.0141
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	106258266	106266875	7	-1.0633
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	106266890	106268557	5	-3.363
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	106268901	128880504	13367	0.0164
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	128880904	128882741	15	-0.683
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	128882755	146104517	10398	0.0085
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	146106836	146109366	24	-1.8375
3602277e-f86f-4509-93d2-5cbbd7b397ab	2	146120238	242147305	58931	0.0107
3602277e-f86f-4509-93d2-5cbbd7b397ab	3	20930	175362958	110258	-0.0817
3602277e-f86f-4509-93d2-5cbbd7b397ab	3	175363114	176856623	948	0.0243
3602277e-f86f-4509-93d2-5cbbd7b397ab	3	176858949	193160113	10529	-0.0811
3602277e-f86f-4509-93d2-5cbbd7b397ab	3	193160173	193165114	19	0.973
3602277e-f86f-4509-93d2-5cbbd7b397ab	3	193168646	195934679	1607	-0.0808
3602277e-f86f-4509-93d2-5cbbd7b397ab	3	195963975	196012333	9	-0.9485
3602277e-f86f-4509-93d2-5cbbd7b397ab	3	196012418	198169247	1074	-0.1084
3602277e-f86f-4509-93d2-5cbbd7b397ab	4	68929	10208766	5681	-0.0301
3602277e-f86f-4509-93d2-5cbbd7b397ab	4	10221792	10229874	28	-1.613
3602277e-f86f-4509-93d2-5cbbd7b397ab	4	10232590	10233644	7	-0.5536
3602277e-f86f-4509-93d2-5cbbd7b397ab	4	10234518	34784878	16941	-0.029
3602277e-f86f-4509-93d2-5cbbd7b397ab	4	34785333	34828327	41	0.3229
3602277e-f86f-4509-93d2-5cbbd7b397ab	4	34828382	68506285	19414	-0.0307
3602277e-f86f-4509-93d2-5cbbd7b397ab	4	68509223	68663241	70	0.6697
3602277e-f86f-4509-93d2-5cbbd7b397ab	4	68671434	160958989	55565	-0.029
3602277e-f86f-4509-93d2-5cbbd7b397ab	4	160959045	160963448	17	-0.912
3602277e-f86f-4509-93d2-5cbbd7b397ab	4	160963756	190106768	19120	-0.0329
3602277e-f86f-4509-93d2-5cbbd7b397ab	5	15532	104515520	62475	0.1401
3602277e-f86f-4509-93d2-5cbbd7b397ab	5	104524672	104524903	4	-1.7382
3602277e-f86f-4509-93d2-5cbbd7b397ab	5	104525348	106893972	1403	0.1458
3602277e-f86f-4509-93d2-5cbbd7b397ab	5	106894003	106897005	10	-0.8317
3602277e-f86f-4509-93d2-5cbbd7b397ab	5	106897146	106897416	9	-0.4735
3602277e-f86f-4509-93d2-5cbbd7b397ab	5	106904875	110054203	2109	0.1462
3602277e-f86f-4509-93d2-5cbbd7b397ab	5	110054244	110054305	2	-1.845
3602277e-f86f-4509-93d2-5cbbd7b397ab	5	110054330	152134610	27172	0.1409
