GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	62920	3301765	738	0.0224
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	3302046	13989189	6216	0.2712
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	13991081	15822848	1380	0.1992
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	15823420	15827430	7	1.0415
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	15827706	16041638	90	0.1663
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	16041908	16063907	7	-0.5384
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	16071582	16505368	202	0.2117
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	16518437	16785682	56	-0.1718
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	16787932	16909373	24	0.1832
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	16909713	16927043	18	-0.1955
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	16930822	16971203	26	0.1873
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	16972001	17010382	16	-0.2017
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	17014383	30670351	7992	0.1971
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	30670681	30777010	78	-0.0444
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	30778204	38662929	4356	0.2047
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	38666758	38666761	4	-0.7418
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	38669516	40101544	763	0.2006
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	40101630	48976351	5222	0.2377
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	48976720	49954729	394	0.1401
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	49958226	54752299	2557	-0.0072
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	54752357	54808979	40	-0.2948
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	54809137	72284670	12573	-0.0086
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	72290430	72351072	60	0.3564
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	72351338	108187137	22900	-0.0038
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	108191613	108194874	3	-1.3622
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	108196482	109679105	692	-0.0139
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	109684695	109697556	15	1.2032
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	109702376	110834746	836	-0.0163
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	110834943	110836273	5	-2.3794
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	110836443	110836709	7	-4.1899
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	110836717	110845604	26	-2.244
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	110849445	121601998	6259	-0.0105
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	121705338	143621884	46	0.7299
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	143624431	143657738	15	1.1874
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	143662805	143762042	59	0.7022
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	143796140	147114243	260	0.0936
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	147114512	147455462	240	0.294
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	147455622	152790593	2044	0.1524
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	152794991	152795447	9	0.8042
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	152795471	154457616	953	0.1609
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	154458929	155559910	560	0.3542
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	155561258	169247699	9775	0.1696
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	169264736	169272528	7	-2.6964
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	169273163	174827267	3518	0.1654
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	174827418	174832599	15	-0.4245
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	174832702	189557649	9812	0.1708
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	189559350	189568201	6	1.0562
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	189577840	196745743	4819	0.1708
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	196758720	196820704	46	0.6661
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	196821139	198335406	834	0.1934
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	198337730	198338649	3	-0.8828
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	198342229	225465182	18537	0.1692
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	225469573	225474976	6	-0.5315
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	225477992	227587204	1312	0.1786
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	227589448	227597361	4	-0.6691
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	227600119	228325014	350	0.1873
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	228325557	228553446	88	-0.0566
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	228656037	229675422	710	0.1617
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	229681109	229684449	3	-2.7153
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	229684709	232406344	2047	0.1691
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	232406813	232409319	10	-0.976
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	232412598	233957948	1270	0.1757
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	233958202	247650984	9935	0.0852
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	247652479	248458851	511	0.1618
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	248461036	248473963	6	-0.9197
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	248475325	248550567	15	-0.019
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	248572774	248631988	32	0.884
9077c52d-8a80-4b9d-9459-9f747d092ee7	1	248633821	248930189	142	0.0265
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	12784	373488	237	0.0091
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	374086	1916869	1007	-0.086
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	1918353	45653739	31039	0.0377
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	45656749	45994616	319	-0.2741
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	46001161	52527330	4523	0.0487
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	52527342	52554404	39	-2.2982
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	52560811	60445120	5598	0.0463
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	60445326	60490363	34	0.1173
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	60491771	60623639	69	0.3166
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	60623828	64143452	1666	0.0812
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	64146562	64146907	2	1.2139
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	64148882	65353087	787	0.0921
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	65353311	65392658	39	0.3851
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	65397213	71909233	4574	0.0925
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	71918053	86901078	9210	0.0402
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	86902080	86934730	3	-1.5629
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	86945604	88847407	629	0.0213
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	88847787	100909202	3236	0.0862
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	100909777	109267397	5420	0.0355
9077c52d-8a80-4b9d-9459-9f747d092ee7	2	109268953	122719438	7651	0.0866
