GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	62920	259926	16	-0.7159
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	266187	3364250	764	0.1398
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	3366738	4486149	735	0.2229
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	4489247	6143454	1363	0.0612
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	6144162	9529354	1937	0.198
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	9536422	9536806	2	-1.0644
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	9542315	10075402	214	0.1881
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	10080555	10510075	250	0.3088
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	10510492	10775812	154	0.1876
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	10786501	15102012	2430	0.0595
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	15103732	15679297	388	0.1916
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	15680805	17103458	611	0.102
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	17104752	20510490	2398	0.2124
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	20516530	25269390	2754	0.0369
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	25269456	25320455	22	0.403
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	25336819	30510798	2588	0.037
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	30511816	36883503	3486	0.1993
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	36884101	38174879	752	0.3261
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	38176365	38755176	415	0.2075
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	38758563	42688530	2227	0.3322
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	42688821	47864580	2873	0.1974
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	47866873	61648334	9089	0.0638
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	61648509	61652515	3	-1.1812
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	61654137	70327652	6065	0.0669
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	70331011	72284670	1211	0.2402
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	72290430	72297687	9	-1.111
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	72302735	72346221	49	0.5847
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	72346757	76599052	2709	0.2217
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	76600263	78457942	1140	0.3671
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	78459728	79361673	535	0.2423
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	79362134	79614389	167	0.3859
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	79614605	89236757	6513	0.224
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	89239794	93176871	2358	0.071
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	93184780	94512643	796	0.2202
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	94514017	94724832	276	0.3502
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	94724993	109684893	9087	0.2176
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	109690352	109697556	13	2.0779
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	109702376	111901061	1722	0.2145
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	111903569	121389102	5329	0.0807
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	121413668	152784298	2712	0.2267
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	152784330	152796224	40	0.669
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	152801429	169247699	11266	0.2168
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	169264736	169272528	6	-1.8801
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	169273163	169538872	164	0.1795
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	169542517	173963999	2975	0.2362
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	173964056	193186662	12625	0.1745
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	193187149	193187202	3	1.4338
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	193187218	193749484	449	0.153
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	193751095	199138574	3378	0.3106
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	199142235	199143343	6	-0.6756
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	199143396	201548106	1704	0.2973
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	201548221	206050479	2952	0.1583
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	206053799	206058126	3	-1.0408
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	206061689	229675422	15780	0.1681
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	229681109	229684449	3	-3.0144
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	229684709	242511430	9885	0.1728
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	242511727	245473108	1889	0.2915
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	245473737	245483602	11	-0.7517
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	245486349	247403573	1313	0.3021
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	247404621	247404630	2	-1.4535
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	247404749	248805242	809	0.3111
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	1	248805944	248930189	64	0.1792
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	2	12784	13566954	10314	-0.013
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	2	13568695	13576609	7	-2.815
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	2	13579923	27850112	9260	0
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	2	27852258	28303339	248	-0.1338
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	2	28305402	34294381	4141	0.0003
9909ef24-06e2-4fdc-ad8c-6a5a525552ed	2	34295406	34300513	3	-1.3652
