GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	62920	105476688	63584	0.0041
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	105476748	105479722	12	0.6768
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	105479738	109679105	2623	0.0064
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	109684695	109697556	15	1.0369
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	109702376	110833598	836	0.0117
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	110834746	110845604	39	-0.6402
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	110849445	112147704	1074	0.0109
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	112153343	112154619	23	0.5107
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	112154754	112889432	470	0.0449
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	112889822	119981279	4549	0.0011
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	119981332	147728150	913	0.0555
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	147728181	147728900	2	1.4684
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	147732310	152599241	1651	0.0068
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	152599461	152614100	20	0.4769
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	152614118	196758720	29544	0.0041
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	196761905	196843377	58	-0.3592
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	196843400	196846661	2	3.7116
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	196847600	222843064	17654	0.0035
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	222843983	222850262	5	-1.8398
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	1	222850427	248930189	18027	0.0078
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	2	12784	4168830	2987	0.0001
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	2	4168862	4171747	16	-0.8305
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	2	4171949	35750907	21925	0.0056
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	2	35752724	35762850	6	-1.4061
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	2	35762881	242147305	124103	0.0066
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	20930	99333	64	-0.0556
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	99434	2777574	2328	0.0601
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	2780268	59745785	37768	0.0073
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	59746033	60931574	1357	0.0598
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	60931813	68697108	6099	0.0046
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	68697133	68698178	11	-1.0532
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	68698213	87872832	11696	0.006
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	87883160	87934812	30	0.4694
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	87945812	143566923	31196	0.0058
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	143566958	143567132	4	1.1019
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	143567959	162794951	11856	0.0107
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	162795304	162910826	71	0.6266
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	162910855	168418915	3080	0.0194
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	168421786	168423824	2	-1.4228
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	168426406	175362822	4557	-0.0015
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	175362958	175363437	4	-0.974
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	175363536	189642965	8975	0.0026
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	189645889	189646849	11	-0.6509
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	189653225	193160173	2483	0.011
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	193160256	193161217	5	0.9716
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	3	193162684	198169247	2700	-0.0017
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	4	68929	164647584	99986	0.0046
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	4	164648030	164665526	11	-0.8333
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	4	164668759	190106768	16688	0.0107
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	5	15532	698390	308	0.0034
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	5	717264	773075	22	0.7574
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	5	773432	12791608	9825	0.0067
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	5	12800777	12838421	15	0.6436
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	5	12849089	17347597	3059	0.0124
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	5	17348113	17356130	5	-0.845
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	5	17358160	21449167	2432	0.0129
71be1ea1-fea6-4c3e-aa65-1b577e8f14cd	5	21451091	21452329	5	-1.7569
