GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
52452f43-e835-49d8-8454-ad1cfd90997d	1	62920	14004749	6968	-0.0476
52452f43-e835-49d8-8454-ad1cfd90997d	1	14004772	14011431	4	2.0683
52452f43-e835-49d8-8454-ad1cfd90997d	1	14011442	15827041	1366	-0.054
52452f43-e835-49d8-8454-ad1cfd90997d	1	15827259	15827430	4	-1.2541
52452f43-e835-49d8-8454-ad1cfd90997d	1	15827706	26715526	6329	-0.0403
52452f43-e835-49d8-8454-ad1cfd90997d	1	26717639	30266509	1767	0.0807
52452f43-e835-49d8-8454-ad1cfd90997d	1	30266949	30272363	5	1.0228
52452f43-e835-49d8-8454-ad1cfd90997d	1	30274729	40320780	5633	0.0774
52452f43-e835-49d8-8454-ad1cfd90997d	1	40323289	40325006	2	1.3659
52452f43-e835-49d8-8454-ad1cfd90997d	1	40326906	48371665	4677	0.0805
52452f43-e835-49d8-8454-ad1cfd90997d	1	48376143	48378940	2	1.3
52452f43-e835-49d8-8454-ad1cfd90997d	1	48379809	54624527	3293	0.0754
52452f43-e835-49d8-8454-ad1cfd90997d	1	54627618	54628716	2	-1.9558
52452f43-e835-49d8-8454-ad1cfd90997d	1	54630777	72303233	12729	0.0593
52452f43-e835-49d8-8454-ad1cfd90997d	1	72303253	72345465	45	-1.1012
52452f43-e835-49d8-8454-ad1cfd90997d	1	72346221	89009572	10941	0.0523
52452f43-e835-49d8-8454-ad1cfd90997d	1	89012275	89012522	2	-3.4291
52452f43-e835-49d8-8454-ad1cfd90997d	1	89015841	109690352	12667	0.0601
52452f43-e835-49d8-8454-ad1cfd90997d	1	109690415	109707962	19	0.7197
52452f43-e835-49d8-8454-ad1cfd90997d	1	109707968	110833459	828	0.075
52452f43-e835-49d8-8454-ad1cfd90997d	1	110833598	110845604	40	-0.5058
52452f43-e835-49d8-8454-ad1cfd90997d	1	110849445	112153465	1076	0.0743
52452f43-e835-49d8-8454-ad1cfd90997d	1	112153571	112163334	24	0.554
52452f43-e835-49d8-8454-ad1cfd90997d	1	112163438	121443040	5093	0.066
52452f43-e835-49d8-8454-ad1cfd90997d	1	121443163	121450637	5	0.828
52452f43-e835-49d8-8454-ad1cfd90997d	1	121451744	121562506	52	0.0481
52452f43-e835-49d8-8454-ad1cfd90997d	1	121573287	143751765	123	-0.2077
52452f43-e835-49d8-8454-ad1cfd90997d	1	143754062	143754798	4	0.7049
52452f43-e835-49d8-8454-ad1cfd90997d	1	143759680	144432083	13	-0.2113
52452f43-e835-49d8-8454-ad1cfd90997d	1	144432313	147770492	709	0.2679
52452f43-e835-49d8-8454-ad1cfd90997d	1	147772142	147772337	2	1.9563
52452f43-e835-49d8-8454-ad1cfd90997d	1	147774791	152583230	1602	0.2314
52452f43-e835-49d8-8454-ad1cfd90997d	1	152583291	152613762	30	1.0782
52452f43-e835-49d8-8454-ad1cfd90997d	1	152613802	153364672	666	0.2338
52452f43-e835-49d8-8454-ad1cfd90997d	1	153366275	153393072	17	0.6425
52452f43-e835-49d8-8454-ad1cfd90997d	1	153393328	154249556	369	0.2337
52452f43-e835-49d8-8454-ad1cfd90997d	1	154252868	155077709	450	0.4712
52452f43-e835-49d8-8454-ad1cfd90997d	1	155090669	155767594	291	0.652
52452f43-e835-49d8-8454-ad1cfd90997d	1	155769887	156682525	428	0.465
52452f43-e835-49d8-8454-ad1cfd90997d	1	156686516	195867794	26880	0.2362
52452f43-e835-49d8-8454-ad1cfd90997d	1	195867900	195903421	30	-0.2409
52452f43-e835-49d8-8454-ad1cfd90997d	1	195905660	196740630	542	0.233
52452f43-e835-49d8-8454-ad1cfd90997d	1	196741937	196832720	62	0.6484
52452f43-e835-49d8-8454-ad1cfd90997d	1	196843377	201244875	2833	0.2292
52452f43-e835-49d8-8454-ad1cfd90997d	1	201244899	202779237	989	0.4741
52452f43-e835-49d8-8454-ad1cfd90997d	1	202780068	242896472	28223	0.2329
52452f43-e835-49d8-8454-ad1cfd90997d	1	242899299	242922358	12	0.8017
52452f43-e835-49d8-8454-ad1cfd90997d	1	242922374	243135116	47	0.2108
52452f43-e835-49d8-8454-ad1cfd90997d	1	243135657	243187175	18	0.5979
52452f43-e835-49d8-8454-ad1cfd90997d	1	243189078	245115191	1234	0.2385
52452f43-e835-49d8-8454-ad1cfd90997d	1	245118121	248446755	2268	0.3509
52452f43-e835-49d8-8454-ad1cfd90997d	1	248447206	248475325	11	-0.6483
52452f43-e835-49d8-8454-ad1cfd90997d	1	248477891	248930189	189	0.3674
52452f43-e835-49d8-8454-ad1cfd90997d	2	12784	7499242	5925	0.0405
52452f43-e835-49d8-8454-ad1cfd90997d	2	7502934	7506841	2	1.5383
52452f43-e835-49d8-8454-ad1cfd90997d	2	7506876	13394851	4260	0.047
52452f43-e835-49d8-8454-ad1cfd90997d	2	13396809	13409547	4	1.2602
52452f43-e835-49d8-8454-ad1cfd90997d	2	13409603	14891929	1078	0.0453
52452f43-e835-49d8-8454-ad1cfd90997d	2	14891961	14908672	14	0.4615
52452f43-e835-49d8-8454-ad1cfd90997d	2	14909886	24393523	6681	0.0426
52452f43-e835-49d8-8454-ad1cfd90997d	2	24396569	24396586	2	1.2398
52452f43-e835-49d8-8454-ad1cfd90997d	2	24396633	28988573	2292	0.0668
52452f43-e835-49d8-8454-ad1cfd90997d	2	28990000	28990823	4	0.9977
52452f43-e835-49d8-8454-ad1cfd90997d	2	28995545	34492841	3860	0.0507
52452f43-e835-49d8-8454-ad1cfd90997d	2	34492907	34511990	17	-0.441
52452f43-e835-49d8-8454-ad1cfd90997d	2	34512096	52038525	12689	0.0593
52452f43-e835-49d8-8454-ad1cfd90997d	2	52039769	52046762	2	-1.4474
52452f43-e835-49d8-8454-ad1cfd90997d	2	52047691	52527330	315	0.0467
52452f43-e835-49d8-8454-ad1cfd90997d	2	52527342	52554404	39	0.892
52452f43-e835-49d8-8454-ad1cfd90997d	2	52560811	63961736	7272	0.0594
52452f43-e835-49d8-8454-ad1cfd90997d	2	63968969	64335405	249	0.3826
52452f43-e835-49d8-8454-ad1cfd90997d	2	64337487	71291528	4878	0.0415
52452f43-e835-49d8-8454-ad1cfd90997d	2	71293926	71430038	68	0.2563
52452f43-e835-49d8-8454-ad1cfd90997d	2	71436418	75607167	2384	0.0601
