GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	62920	787937	25	-0.1299
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	793228	2872530	524	0.3295
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	2872543	3447474	281	0.1707
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	3449184	6807782	2355	0.016
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	6813006	16855942	5515	0.181
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	16863509	16949746	56	0.635
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	16951445	25120898	5159	0.182
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	25120931	25320198	122	0.3611
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	25320253	25943597	266	0.1712
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	25948736	26038883	50	0.4497
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	26039058	26089054	29	0.1765
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	26089769	30794488	2476	-0.1457
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	30796057	32430518	765	0.0221
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	32435247	32435639	2	-1.4506
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	32439466	38662929	3580	0.0225
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	38666758	38666761	4	1.2012
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	38669516	44743488	3525	0.0157
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	44746192	65780148	13788	0.0478
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	65780237	72297687	4248	0.0267
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	72302735	72345450	47	-1.2037
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	72345465	104714678	20541	0.0373
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	104716897	105476583	409	-0.1413
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	105476614	105479753	16	-1.7361
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	105481433	111385772	3969	-0.1353
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	111386515	111390609	5	-1.1547
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	111393046	118332801	4581	-0.1411
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	118336212	118338204	4	-1.2268
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	118340673	121597150	1220	-0.1224
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	121598439	143707944	78	-0.54
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	143708096	143713930	18	-0.0824
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	143714499	144442092	38	-0.5392
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	144442098	148353534	847	0.3513
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	148355693	149000193	27	0.7996
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	149015387	152582700	1435	0.3107
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	152583051	152614064	34	0.8882
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	152614100	169247699	11485	0.3124
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	169264736	169272528	7	1.1298
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	169273163	185043568	10487	0.319
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	185044870	187746723	1717	0.1943
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	187748429	187752238	2	-1.9936
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	187755479	195375108	5057	0.175
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	195378610	195386347	7	0.9705
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	195386615	196745743	895	0.1828
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	196758720	196846661	61	-1.6448
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	196847600	234487507	25608	0.1843
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	234490004	235109864	457	0.3636
bab8b5b7-c3d3-4aa1-a3a6-a1717619de4e	1	235109879	236735742	1023	0.1737
