GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6e9c4d50-eebf-4bff-9786-f72054327247	1	62920	1575421	210	0.1603
6e9c4d50-eebf-4bff-9786-f72054327247	1	1696479	1731499	10	-0.6945
6e9c4d50-eebf-4bff-9786-f72054327247	1	1731897	3286332	514	0.118
6e9c4d50-eebf-4bff-9786-f72054327247	1	3291811	15827002	7608	0.0043
6e9c4d50-eebf-4bff-9786-f72054327247	1	15827041	15828515	9	0.7437
6e9c4d50-eebf-4bff-9786-f72054327247	1	15839166	16471261	279	-0.0046
6e9c4d50-eebf-4bff-9786-f72054327247	1	16477281	16721984	60	0.132
6e9c4d50-eebf-4bff-9786-f72054327247	1	16766762	16951445	71	0.4531
6e9c4d50-eebf-4bff-9786-f72054327247	1	16955930	21996664	3342	0.0025
6e9c4d50-eebf-4bff-9786-f72054327247	1	22001786	22002025	2	-1.7897
6e9c4d50-eebf-4bff-9786-f72054327247	1	22004046	25209597	1898	0.0104
6e9c4d50-eebf-4bff-9786-f72054327247	1	25219106	25320455	41	0.5241
6e9c4d50-eebf-4bff-9786-f72054327247	1	25336819	61648334	21429	0.0071
6e9c4d50-eebf-4bff-9786-f72054327247	1	61648509	61652515	3	-1.3362
6e9c4d50-eebf-4bff-9786-f72054327247	1	61654137	71520306	6803	0
6e9c4d50-eebf-4bff-9786-f72054327247	1	71520869	71559565	34	-0.335
6e9c4d50-eebf-4bff-9786-f72054327247	1	71565883	72259757	421	0.0069
6e9c4d50-eebf-4bff-9786-f72054327247	1	72261022	72297687	29	-0.5091
6e9c4d50-eebf-4bff-9786-f72054327247	1	72302735	72345465	48	1.5264
6e9c4d50-eebf-4bff-9786-f72054327247	1	72346221	82719416	6674	-0.0064
6e9c4d50-eebf-4bff-9786-f72054327247	1	82719956	82761755	33	-0.3413
6e9c4d50-eebf-4bff-9786-f72054327247	1	82762014	98135691	9852	-0.0062
6e9c4d50-eebf-4bff-9786-f72054327247	1	98138502	98163721	20	-0.6504
6e9c4d50-eebf-4bff-9786-f72054327247	1	98163874	109684893	6996	0
