GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	62920	34637053	18996	0.0001
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	34637069	34638890	19	-0.4469
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	34648667	72303233	23770	0.0013
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	72303253	72313397	9	-2.643
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	72313408	72345450	35	-1.3674
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	72345465	105470754	20951	0.0027
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	105476583	105479753	17	1.2302
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	105481433	109684893	2636	0.0077
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	109690352	109703504	15	0.6869
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	109703508	110833598	833	-0.0009
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	110834746	110834953	5	-2.4722
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	110836273	110836709	8	-4.7562
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	110836717	110845604	26	-2.6297
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	110849445	112154204	1089	0.0196
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	112154234	112154619	10	0.7876
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	112154754	143541857	5165	0.0072
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	143545399	143942271	125	0.76
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	144432083	152580015	2309	0.03
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	152580278	152614118	40	0.6753
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	152618018	152789447	168	0.0392
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	152789463	152796224	36	0.8073
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	152801429	158896783	3613	0.0108
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	158898711	158899969	2	2.4038
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	158905028	161647641	1649	-0.0019
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	161647657	161649268	8	-0.8713
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	161678447	169017254	5821	0.0024
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	169017882	169017973	2	-1.6235
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	169020148	169247699	190	0.0381
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	169264736	169272528	7	0.9357
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	169273163	174827267	3519	0.0036
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	174827418	174832702	16	-0.7317
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	174832716	174924731	53	-0.0504
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	174925032	174929387	6	-1.1949
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	174932989	179361393	3015	0.0184
1fcb8174-aee8-472c-9f6c-2e4bd6f8d102	1	179362247	179364180	3	-1.1945
