GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
69d233bb-6eca-44da-8247-974abb6ba312	1	62920	3410232	808	-0.1451
69d233bb-6eca-44da-8247-974abb6ba312	1	3410239	16018332	7603	0.0118
69d233bb-6eca-44da-8247-974abb6ba312	1	16018760	16041638	3	-2.4926
69d233bb-6eca-44da-8247-974abb6ba312	1	16041908	16480031	197	0.0023
69d233bb-6eca-44da-8247-974abb6ba312	1	16480430	16855942	71	-0.1885
69d233bb-6eca-44da-8247-974abb6ba312	1	16863509	16955930	58	-0.7168
69d233bb-6eca-44da-8247-974abb6ba312	1	16956580	25269456	5254	0.0193
69d233bb-6eca-44da-8247-974abb6ba312	1	25269914	25320253	20	0.5334
69d233bb-6eca-44da-8247-974abb6ba312	1	25320455	34626037	4939	0.0207
69d233bb-6eca-44da-8247-974abb6ba312	1	34626073	34648667	22	-0.8292
69d233bb-6eca-44da-8247-974abb6ba312	1	34649941	37386112	1458	0.025
69d233bb-6eca-44da-8247-974abb6ba312	1	37387369	37472740	54	-0.2668
69d233bb-6eca-44da-8247-974abb6ba312	1	37476352	72297687	22221	0.0203
69d233bb-6eca-44da-8247-974abb6ba312	1	72302735	72345465	48	-1.6193
69d233bb-6eca-44da-8247-974abb6ba312	1	72346221	103578067	19995	0.0246
69d233bb-6eca-44da-8247-974abb6ba312	1	103578487	103616762	18	0.5696
69d233bb-6eca-44da-8247-974abb6ba312	1	103620877	103717410	5	-1.0221
69d233bb-6eca-44da-8247-974abb6ba312	1	103717617	105470754	919	0.0161
69d233bb-6eca-44da-8247-974abb6ba312	1	105476583	105479753	17	0.716
69d233bb-6eca-44da-8247-974abb6ba312	1	105481433	121601998	9770	0.0194
69d233bb-6eca-44da-8247-974abb6ba312	1	121705338	143928045	128	-0.8708
69d233bb-6eca-44da-8247-974abb6ba312	1	143942271	152583319	2316	0.0007
69d233bb-6eca-44da-8247-974abb6ba312	1	152583408	152600017	15	0.7509
69d233bb-6eca-44da-8247-974abb6ba312	1	152600184	152789463	186	0.0339
69d233bb-6eca-44da-8247-974abb6ba312	1	152789479	152796224	35	0.5989
69d233bb-6eca-44da-8247-974abb6ba312	1	152801429	153220353	330	0.0381
69d233bb-6eca-44da-8247-974abb6ba312	1	153220702	153225469	6	-0.9615
69d233bb-6eca-44da-8247-974abb6ba312	1	153228332	189063349	23954	0.0208
69d233bb-6eca-44da-8247-974abb6ba312	1	189065103	189065645	4	-1.1516
69d233bb-6eca-44da-8247-974abb6ba312	1	189068745	189679027	410	0.0567
69d233bb-6eca-44da-8247-974abb6ba312	1	189679353	189679397	2	-1.6877
69d233bb-6eca-44da-8247-974abb6ba312	1	189682917	196745743	4736	0.0194
69d233bb-6eca-44da-8247-974abb6ba312	1	196758720	196832525	57	-1.85
69d233bb-6eca-44da-8247-974abb6ba312	1	196832720	222193326	17377	0.023
69d233bb-6eca-44da-8247-974abb6ba312	1	222201492	222203662	2	-3.2135
69d233bb-6eca-44da-8247-974abb6ba312	1	222208792	240228440	12536	0.0157
69d233bb-6eca-44da-8247-974abb6ba312	1	240230715	240230839	6	-1.5678
69d233bb-6eca-44da-8247-974abb6ba312	1	240232805	248930189	5860	0.018
