GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	62920	15823420	8285	-0.065
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	15827002	15827430	6	-2.2634
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	15827706	16570326	305	-0.0644
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	16583114	16958425	113	-0.4934
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	16959715	20556929	2527	-0.0584
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	20557010	20557029	2	-2.298
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	20557323	55522133	19371	-0.0592
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	55523741	72295173	11939	-0.0265
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	72296993	72303233	5	-0.7159
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	72303253	72345465	44	-2.1341
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	72346221	81422771	5746	-0.0064
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	81422917	81422920	2	-3.7193
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	81422982	83350794	1300	-0.0215
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	83359894	83359907	2	-2.252
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	83362590	103570917	12859	-0.0244
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	103573727	103761017	30	-0.4054
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	103764621	105470754	910	-0.0142
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	105476583	105479753	17	-2.5899
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	105481433	109684695	2618	-0.0182
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	109684893	109697556	13	-0.8174
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	109702376	110837398	853	-0.0327
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	110839857	110845562	17	0.5333
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	110845604	143713743	6313	-0.0376
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	143713884	144432313	39	-0.6014
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	144442092	145801718	67	0.2419
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	145804704	147004967	114	0.302
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	147008051	147885803	595	0.6526
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	147892908	148997013	92	0.1767
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	149000127	152583051	1435	0.5889
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	152583230	152618018	36	2.0498
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	152618089	152789447	167	0.5913
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	152789463	152795783	31	1.2348
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	152795805	169247699	11245	0.6107
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	169264736	169272528	6	2.0954
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	169273163	175467793	3956	0.629
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	175468144	175791616	294	1.3966
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	175793886	187184945	7540	0.6286
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	187185171	187186451	2	-1.4779
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	187187090	187746723	389	0.6203
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	187748429	187752238	2	-2.4465
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	187755479	194492369	4515	0.6451
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	194495592	194498192	2	-1.177
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	194498396	196745692	1436	0.6513
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	196745743	196821815	49	-0.0649
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	196829435	196846661	13	0.8883
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	196847600	198335406	818	0.6441
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	198337802	198338649	2	-0.9407
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	198342229	199138574	549	0.6757
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	199142235	199143883	8	-0.8343
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	199144712	247775109	33714	0.626
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	247775446	247775555	2	-1.7142
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	247775696	248574146	452	0.6618
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	248585893	248646068	35	-0.6192
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	1	248661836	248930189	137	0.6455
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	2	12784	4155597	2965	-0.0047
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	2	4155990	4176429	44	-0.6041
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	2	4182472	7499242	2882	-0.0103
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	2	7502934	7506841	2	-1.9035
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	2	7506876	9370405	1352	-0.0223
bd8a87b0-56c2-4de7-b6e0-fd522c624e2a	2	9370640	9370654	2	-2.5227
