GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
00a9cd7a-f609-4741-a261-79e844901abd	1	62920	668210	21	-0.2171
00a9cd7a-f609-4741-a261-79e844901abd	1	771719	3428581	802	1.0055
00a9cd7a-f609-4741-a261-79e844901abd	1	3429784	4926246	1109	0.9222
00a9cd7a-f609-4741-a261-79e844901abd	1	4926375	5575326	529	0.7373
00a9cd7a-f609-4741-a261-79e844901abd	1	5576281	5576770	6	0.239
00a9cd7a-f609-4741-a261-79e844901abd	1	5577019	5647403	79	0.6972
00a9cd7a-f609-4741-a261-79e844901abd	1	5647439	5647455	2	-1.1992
00a9cd7a-f609-4741-a261-79e844901abd	1	5647878	15823420	5785	0.7622
00a9cd7a-f609-4741-a261-79e844901abd	1	15827002	15828515	10	-1.2159
00a9cd7a-f609-4741-a261-79e844901abd	1	15839166	16918718	380	0.7869
00a9cd7a-f609-4741-a261-79e844901abd	1	16919035	16921903	9	1.3801
00a9cd7a-f609-4741-a261-79e844901abd	1	16926880	17434186	382	0.8173
00a9cd7a-f609-4741-a261-79e844901abd	1	17435493	17490035	26	0.5279
00a9cd7a-f609-4741-a261-79e844901abd	1	17492580	17911945	244	0.7745
00a9cd7a-f609-4741-a261-79e844901abd	1	17912552	18417091	474	0.545
00a9cd7a-f609-4741-a261-79e844901abd	1	18420290	26122744	4542	0.2524
00a9cd7a-f609-4741-a261-79e844901abd	1	26125895	26252584	58	0.5472
00a9cd7a-f609-4741-a261-79e844901abd	1	26260784	57329764	17768	0.2629
00a9cd7a-f609-4741-a261-79e844901abd	1	57330108	59974911	2051	0.2267
00a9cd7a-f609-4741-a261-79e844901abd	1	59976105	64831333	3441	0.2875
00a9cd7a-f609-4741-a261-79e844901abd	1	64833294	67175379	1835	0.2117
00a9cd7a-f609-4741-a261-79e844901abd	1	67176383	72302815	3217	0.2501
00a9cd7a-f609-4741-a261-79e844901abd	1	72303233	72345465	46	1.1214
00a9cd7a-f609-4741-a261-79e844901abd	1	72346221	83900867	7476	0.2485
00a9cd7a-f609-4741-a261-79e844901abd	1	83904684	87176667	2130	0.3007
00a9cd7a-f609-4741-a261-79e844901abd	1	87176703	87176721	2	-0.9139
00a9cd7a-f609-4741-a261-79e844901abd	1	87176744	96422852	6038	0.2884
00a9cd7a-f609-4741-a261-79e844901abd	1	96423702	102270359	3670	0.2457
00a9cd7a-f609-4741-a261-79e844901abd	1	102276229	102363313	63	-0.0923
00a9cd7a-f609-4741-a261-79e844901abd	1	102363335	105478597	1573	-0.1738
00a9cd7a-f609-4741-a261-79e844901abd	1	105478759	105479231	6	-0.9332
00a9cd7a-f609-4741-a261-79e844901abd	1	105479468	107458685	1361	-0.1665
00a9cd7a-f609-4741-a261-79e844901abd	1	107458826	109690352	1280	-0.1035
00a9cd7a-f609-4741-a261-79e844901abd	1	109690415	109697556	12	-1.2135
00a9cd7a-f609-4741-a261-79e844901abd	1	109702376	112147704	1951	-0.1141
